Student_ID,College_Tier,Department,CGPA,Skill_Programs,Internships,Projects,Domain,Company_Tier,Job_Role,Salary_LPA,Applied,Shortlisted,Interview_Attended,Offer_Received,Joined,Round_1,Round_2,Round_3,Cleared_R1,Cleared_R2,Cleared_R3,Failed_Stage
67,1,ECE,6.09,2,0,9,GenAI,Mid,AI Engineer,38,1,1,1,0,0,GD,Tech,HR,0,0,0,Round1
68,4,ECE,8.51,1,2,4,DS,Top,Data Analyst,27,1,1,1,0,0,Coding,Tech,Tech,1,1,0,Round3
69,2,ECE,7.6,1,0,3,DS,Startup,Data Scientist,27,1,1,0,0,1,Coding,Coding,Tech,0,0,1,Round1
70,2,Civil,7.96,0,2,2,AI,Top,Data Scientist,17,1,0,1,0,0,GD,Tech,HR,1,0,1,Round2
71,2,CSE,8.78,1,2,3,DS,Top,AI Engineer,32,1,1,0,1,1,Aptitude,Tech,Tech,0,1,0,Round1
72,1,ECE,9.85,2,1,4,AI,Mid,AI Engineer,32,1,1,1,0,0,GD,Coding,Tech,0,1,0,Round1
73,2,Mechanical,8.71,0,0,3,DS,Startup,Data Scientist,35,1,1,1,0,1,Aptitude,Tech,HR,1,1,0,Round3
74,1,Mechanical,9.86,2,2,5,GenAI,Startup,GenAI Engineer,8,1,0,1,1,1,GD,Tech,Tech,1,1,1,Selected
75,2,Mechanical,8.49,1,1,4,GenAI,Top,GenAI Engineer,30,1,1,1,0,0,GD,Coding,HR,1,1,1,Selected
76,4,CSE,8.39,2,0,7,AI,Startup,GenAI Engineer,9,1,0,1,0,0,Coding,Tech,Tech,1,1,0,Round3
77,4,Mechanical,5.72,0,0,2,DS,Startup,Data Scientist,11,1,1,1,1,1,Coding,Coding,Tech,1,0,1,Round2
78,3,Civil,5.46,0,2,5,GenAI,Mid,Data Analyst,17,1,1,1,0,0,Coding,Tech,Tech,0,0,0,Round1
79,4,Civil,5.12,2,0,4,AI,Mid,AI Engineer,8,1,1,0,1,1,Coding,Coding,Tech,1,1,1,Selected
80,3,CSE,8.47,2,1,6,GenAI,Top,AI Engineer,34,1,0,1,1,0,Aptitude,Coding,HR,1,1,0,Round3
81,4,Civil,8.25,0,2,8,DS,Mid,Data Analyst,5,1,1,1,0,1,GD,Coding,HR,0,1,1,Round1
82,1,Civil,8.16,1,0,4,AI,Mid,GenAI Engineer,36,1,0,0,0,0,Aptitude,Tech,Tech,0,1,0,Round1
83,4,Civil,8.13,1,0,1,DS,Mid,Data Analyst,32,1,1,1,0,0,GD,Tech,HR,1,0,1,Round2
84,3,Mechanical,8.44,2,2,6,DS,Startup,GenAI Engineer,13,1,1,1,0,0,Coding,Coding,HR,1,0,1,Round2
85,3,ECE,9.18,1,1,4,GenAI,Top,Data Scientist,35,1,0,0,0,0,GD,Tech,HR,1,0,0,Round2
86,2,Mechanical,8.63,2,1,2,DS,Top,AI Engineer,16,1,1,1,0,0,GD,Tech,Tech,1,0,0,Round2
87,1,Mechanical,8.0,2,2,3,AI,Startup,GenAI Engineer,25,1,1,1,0,0,Coding,Tech,Tech,1,0,0,Round2
88,4,Civil,6.09,0,1,3,DS,Mid,GenAI Engineer,16,1,1,1,1,0,Coding,Tech,HR,1,0,0,Round2
89,2,Civil,8.84,0,1,7,DS,Startup,Data Scientist,19,1,0,0,1,1,Coding,Coding,Tech,1,0,0,Round2
90,4,Civil,6.25,0,1,4,AI,Top,GenAI Engineer,19,1,1,0,1,0,Coding,Coding,HR,0,1,0,Round1
91,4,CSE,8.4,1,1,5,DS,Startup,GenAI Engineer,39,1,1,1,1,0,GD,Tech,HR,1,1,0,Round3
92,2,CSE,5.67,2,2,7,AI,Mid,AI Engineer,25,1,1,0,0,0,GD,Tech,HR,0,1,1,Round1
93,2,ECE,7.55,2,0,3,GenAI,Startup,AI Engineer,31,1,1,0,0,0,GD,Coding,HR,1,1,1,Selected
94,2,Mechanical,8.16,0,2,7,GenAI,Top,AI Engineer,12,1,1,1,0,0,Aptitude,Coding,HR,1,0,0,Round2
95,2,Mechanical,9.08,2,2,3,DS,Startup,GenAI Engineer,24,1,0,1,0,0,GD,Coding,Tech,0,1,1,Round1
96,2,Civil,8.51,1,2,5,GenAI,Mid,AI Engineer,21,1,1,0,0,0,GD,Coding,Tech,0,1,0,Round1
97,4,Civil,9.03,1,1,4,AI,Top,Data Analyst,25,1,0,1,1,0,GD,Tech,HR,1,1,0,Round3
98,2,Mechanical,9.28,0,0,5,AI,Startup,Data Analyst,6,1,1,0,0,1,GD,Coding,HR,0,1,1,Round1
99,1,ECE,9.38,0,2,5,GenAI,Mid,AI Engineer,31,1,1,0,0,0,GD,Coding,Tech,1,1,1,Selected
100,3,ECE,9.41,0,2,5,AI,Startup,AI Engineer,6,1,0,0,0,0,Coding,Coding,HR,0,1,0,Round1
101,2,ECE,6.32,1,2,5,AI,Mid,Data Analyst,32,1,1,1,1,0,Aptitude,Tech,HR,1,1,0,Round3
102,2,CSE,9.04,1,2,8,DS,Mid,AI Engineer,15,1,1,0,0,0,Coding,Tech,HR,1,0,1,Round2
103,4,CSE,5.08,0,1,3,DS,Startup,Data Analyst,25,1,1,1,0,1,GD,Tech,Tech,1,1,0,Round3
104,2,Civil,9.68,2,2,7,DS,Top,GenAI Engineer,14,1,1,1,1,1,GD,Coding,Tech,0,1,1,Round1
105,2,ECE,5.93,1,1,6,GenAI,Mid,Data Scientist,4,1,1,1,1,0,Coding,Coding,Tech,1,1,0,Round3
106,2,CSE,9.42,1,0,6,AI,Mid,Data Scientist,6,1,1,1,0,1,GD,Tech,HR,0,0,0,Round1
107,4,CSE,9.02,0,0,1,AI,Top,AI Engineer,13,1,1,0,1,1,GD,Coding,HR,0,1,0,Round1
108,2,Civil,6.95,1,2,1,AI,Startup,Data Analyst,15,1,1,0,0,1,Aptitude,Tech,Tech,1,1,0,Round3
109,3,ECE,9.82,1,1,2,GenAI,Mid,AI Engineer,7,1,0,1,0,1,GD,Coding,HR,0,0,0,Round1
110,4,CSE,5.47,2,2,3,AI,Startup,Data Analyst,4,1,1,1,0,1,Aptitude,Tech,Tech,0,1,1,Round1
111,3,Civil,6.45,0,0,4,DS,Mid,GenAI Engineer,7,1,0,1,0,1,Aptitude,Coding,HR,0,0,0,Round1
112,4,CSE,6.27,1,0,7,DS,Mid,Data Scientist,24,1,0,1,0,0,GD,Coding,HR,1,1,0,Round3
113,2,ECE,5.04,0,2,5,AI,Top,Data Analyst,21,1,1,0,1,0,GD,Coding,HR,1,1,1,Selected
114,3,ECE,5.82,0,1,2,AI,Startup,GenAI Engineer,14,1,1,1,1,0,GD,Tech,Tech,1,0,0,Round2
115,4,ECE,8.97,2,2,8,AI,Top,Data Analyst,17,1,1,1,1,1,Coding,Tech,HR,1,0,0,Round2
116,1,Mechanical,9.16,0,2,8,GenAI,Top,GenAI Engineer,35,1,1,1,0,1,GD,Coding,HR,1,1,0,Round3
117,2,ECE,8.73,1,0,1,GenAI,Startup,GenAI Engineer,23,1,1,0,0,0,Coding,Coding,Tech,1,0,0,Round2
118,4,Mechanical,7.74,0,0,5,AI,Startup,Data Analyst,27,1,1,0,0,0,Aptitude,Coding,HR,1,1,1,Selected
119,1,Civil,8.16,1,2,1,DS,Mid,GenAI Engineer,12,1,0,0,0,0,Coding,Tech,Tech,1,0,1,Round2
120,4,Civil,7.91,1,2,7,GenAI,Top,Data Analyst,25,1,1,1,0,1,Aptitude,Coding,HR,1,0,0,Round2
121,1,CSE,6.26,1,2,5,DS,Startup,AI Engineer,30,1,0,0,1,0,Coding,Tech,HR,1,1,0,Round3
122,2,Civil,6.92,1,2,2,GenAI,Mid,GenAI Engineer,6,1,1,0,1,0,Aptitude,Coding,HR,0,0,1,Round1
123,3,Mechanical,9.09,0,0,6,DS,Top,Data Scientist,28,1,1,1,1,1,GD,Coding,Tech,1,0,1,Round2
124,1,ECE,5.47,2,2,5,DS,Top,Data Analyst,29,1,1,0,1,0,Coding,Coding,Tech,1,0,0,Round2
125,4,Civil,5.19,1,0,5,GenAI,Top,GenAI Engineer,30,1,0,1,0,0,GD,Coding,Tech,1,0,1,Round2
126,2,CSE,8.44,1,1,7,AI,Startup,Data Scientist,17,1,1,0,1,1,GD,Coding,HR,0,0,0,Round1
127,1,Civil,9.19,2,1,9,GenAI,Top,AI Engineer,21,1,1,1,1,1,GD,Tech,HR,1,1,1,Selected
128,4,ECE,8.09,1,1,2,GenAI,Top,Data Scientist,8,1,0,1,1,0,Aptitude,Coding,HR,0,1,0,Round1
129,4,CSE,8.81,2,0,4,DS,Startup,GenAI Engineer,15,1,1,0,0,0,Aptitude,Tech,HR,0,1,0,Round1
130,4,CSE,9.89,0,1,5,AI,Mid,Data Scientist,7,1,1,1,0,0,Coding,Tech,HR,0,1,1,Round1
131,1,Civil,8.15,0,2,3,DS,Startup,Data Analyst,4,1,1,1,0,1,Aptitude,Coding,HR,1,0,0,Round2
132,1,CSE,7.22,2,0,5,GenAI,Top,AI Engineer,35,1,0,0,0,0,GD,Tech,HR,0,1,0,Round1
133,1,Mechanical,9.97,2,1,4,GenAI,Mid,GenAI Engineer,15,1,1,1,0,1,Coding,Coding,Tech,1,1,0,Round3
134,3,ECE,8.14,1,2,1,GenAI,Mid,GenAI Engineer,35,1,0,1,1,1,GD,Coding,Tech,1,1,1,Selected
135,1,Mechanical,5.89,1,1,2,DS,Mid,Data Analyst,18,1,1,0,0,0,Coding,Coding,Tech,0,0,0,Round1
136,1,ECE,8.43,0,1,1,GenAI,Top,Data Analyst,37,1,1,0,0,0,Coding,Tech,HR,0,0,0,Round1
137,1,CSE,8.72,2,2,9,GenAI,Startup,Data Analyst,4,1,1,0,0,0,GD,Tech,Tech,0,1,1,Round1
138,3,Civil,5.06,1,1,1,GenAI,Startup,Data Analyst,23,1,1,1,0,0,Coding,Tech,HR,1,1,1,Selected
139,1,Mechanical,7.16,1,2,9,AI,Startup,GenAI Engineer,38,1,1,1,1,0,Coding,Coding,Tech,0,1,0,Round1
140,4,Mechanical,9.73,2,1,3,GenAI,Mid,Data Analyst,16,1,1,1,0,0,Coding,Coding,HR,1,1,1,Selected
141,1,Mechanical,9.08,1,0,5,GenAI,Top,GenAI Engineer,38,1,1,0,0,1,Aptitude,Coding,HR,0,1,1,Round1
142,4,CSE,6.02,2,0,5,AI,Startup,AI Engineer,13,1,1,1,0,0,Coding,Tech,Tech,0,1,0,Round1
143,4,Civil,6.52,0,2,5,AI,Startup,GenAI Engineer,20,1,0,1,0,1,Coding,Tech,Tech,1,0,1,Round2
144,4,CSE,8.3,2,1,9,DS,Top,AI Engineer,4,1,1,1,1,0,GD,Coding,Tech,0,0,0,Round1
145,3,ECE,9.56,0,1,4,GenAI,Top,GenAI Engineer,21,1,1,0,1,1,GD,Tech,Tech,1,0,1,Round2
146,3,ECE,9.39,1,0,2,GenAI,Startup,Data Scientist,21,1,1,0,0,1,Coding,Tech,Tech,1,1,1,Selected
147,3,Civil,6.21,0,0,2,GenAI,Mid,AI Engineer,25,1,0,1,1,1,GD,Coding,HR,1,1,1,Selected
148,1,ECE,8.41,0,0,8,GenAI,Top,GenAI Engineer,37,1,0,1,1,1,GD,Tech,Tech,1,0,1,Round2
149,4,CSE,7.82,2,1,5,GenAI,Top,AI Engineer,23,1,1,1,1,0,GD,Coding,Tech,1,1,0,Round3
150,3,CSE,6.88,2,0,7,DS,Top,Data Analyst,20,1,1,1,0,0,Coding,Coding,Tech,0,1,1,Round1
151,3,Mechanical,6.51,2,0,4,GenAI,Top,GenAI Engineer,29,1,0,0,0,1,GD,Tech,Tech,1,1,0,Round3
152,1,Civil,7.49,1,1,6,GenAI,Top,Data Analyst,12,1,1,1,0,0,Aptitude,Tech,HR,1,1,1,Selected
153,3,CSE,7.84,2,0,8,DS,Mid,Data Analyst,36,1,0,0,0,0,Coding,Coding,Tech,1,1,0,Round3
154,1,Mechanical,9.5,1,2,3,AI,Startup,AI Engineer,27,1,1,1,0,0,Aptitude,Tech,Tech,1,0,0,Round2
155,2,Mechanical,8.75,2,2,5,DS,Startup,Data Scientist,32,1,1,0,0,0,GD,Coding,Tech,0,0,0,Round1
156,3,Mechanical,5.3,2,2,5,GenAI,Mid,Data Analyst,39,1,1,0,0,0,Aptitude,Tech,Tech,0,0,0,Round1
157,2,CSE,5.88,2,2,7,GenAI,Top,Data Analyst,26,1,0,1,0,0,Coding,Coding,Tech,1,0,0,Round2
158,1,ECE,6.19,0,0,4,DS,Mid,GenAI Engineer,28,1,1,1,0,0,Coding,Coding,Tech,1,1,0,Round3
159,4,Civil,6.03,0,1,3,DS,Startup,Data Scientist,30,1,0,0,0,0,Coding,Tech,HR,1,1,1,Selected
160,3,Civil,6.48,2,2,3,DS,Startup,AI Engineer,37,1,0,1,0,0,Coding,Coding,HR,0,0,1,Round1
161,1,Civil,7.03,1,0,4,GenAI,Mid,GenAI Engineer,15,1,1,0,0,1,Aptitude,Tech,HR,1,1,0,Round3
162,4,Mechanical,5.08,1,1,1,DS,Top,Data Scientist,31,1,0,1,1,0,GD,Coding,HR,1,1,1,Selected
163,4,CSE,5.34,0,2,2,DS,Startup,GenAI Engineer,19,1,1,0,0,0,GD,Coding,Tech,1,0,0,Round2
164,2,ECE,8.31,2,1,4,AI,Mid,Data Scientist,17,1,0,1,0,0,Aptitude,Tech,Tech,1,0,0,Round2
165,1,CSE,8.0,1,1,2,DS,Top,GenAI Engineer,5,1,1,0,1,0,Coding,Coding,HR,1,0,0,Round2
166,4,Civil,9.38,2,2,6,AI,Mid,AI Engineer,37,1,1,0,0,0,GD,Tech,HR,0,1,0,Round1
167,3,CSE,9.78,2,2,5,GenAI,Mid,Data Analyst,32,1,1,0,0,0,Coding,Tech,Tech,1,0,0,Round2
168,3,ECE,8.66,0,0,7,GenAI,Startup,Data Scientist,4,1,1,0,0,0,Coding,Tech,HR,0,0,1,Round1
169,2,Civil,6.97,2,1,4,DS,Top,GenAI Engineer,5,1,1,0,0,1,GD,Coding,HR,1,1,0,Round3
170,4,Mechanical,8.72,0,1,7,DS,Top,AI Engineer,20,1,1,0,0,0,GD,Tech,HR,0,1,0,Round1
171,1,Civil,7.89,0,2,9,DS,Startup,Data Analyst,6,1,1,1,1,1,GD,Coding,HR,1,1,1,Selected
172,3,Mechanical,9.72,2,0,6,GenAI,Top,AI Engineer,16,1,0,1,0,0,Aptitude,Coding,HR,1,1,1,Selected
173,4,Mechanical,9.52,1,0,3,AI,Startup,GenAI Engineer,15,1,1,1,0,1,Coding,Coding,Tech,1,1,0,Round3
174,4,ECE,9.2,1,2,8,GenAI,Mid,GenAI Engineer,6,1,1,1,0,0,Coding,Tech,Tech,1,0,0,Round2
175,2,Civil,8.25,1,1,6,DS,Top,AI Engineer,28,1,0,0,1,0,GD,Coding,HR,0,0,1,Round1
176,3,ECE,5.85,0,0,1,DS,Startup,AI Engineer,20,1,1,1,0,0,GD,Tech,Tech,0,1,1,Round1
177,3,CSE,8.85,1,1,8,DS,Mid,Data Analyst,34,1,1,0,0,0,Coding,Tech,Tech,1,1,1,Selected
178,1,ECE,9.39,2,2,4,DS,Startup,Data Analyst,23,1,1,1,1,0,Coding,Coding,HR,1,0,1,Round2
179,3,Civil,8.75,2,2,8,GenAI,Startup,AI Engineer,19,1,1,0,0,0,GD,Tech,HR,1,1,1,Selected
180,1,ECE,7.93,2,2,8,GenAI,Mid,Data Analyst,17,1,1,0,1,0,Aptitude,Tech,Tech,0,0,0,Round1
181,3,Civil,8.72,2,0,2,AI,Mid,GenAI Engineer,4,1,1,1,0,0,Aptitude,Tech,Tech,1,0,0,Round2
182,2,ECE,6.83,2,1,7,DS,Mid,Data Scientist,25,1,1,1,0,1,Coding,Tech,HR,1,1,0,Round3
183,3,Mechanical,5.7,1,2,2,AI,Startup,AI Engineer,36,1,0,0,0,1,Coding,Tech,Tech,1,0,1,Round2
184,1,CSE,6.69,0,2,2,GenAI,Startup,Data Scientist,8,1,1,0,1,0,GD,Tech,HR,0,1,0,Round1
185,1,CSE,9.3,1,1,7,AI,Mid,GenAI Engineer,39,1,0,1,1,0,GD,Coding,Tech,1,1,1,Selected
186,2,Civil,9.48,2,0,4,DS,Mid,GenAI Engineer,13,1,1,1,0,1,Coding,Tech,HR,0,0,0,Round1
187,3,Civil,6.0,0,2,8,DS,Startup,AI Engineer,17,1,1,0,0,1,Coding,Coding,Tech,1,0,1,Round2
188,3,Civil,5.44,2,0,2,GenAI,Startup,Data Analyst,27,1,0,0,0,0,GD,Tech,HR,1,0,1,Round2
189,2,ECE,5.49,2,0,1,DS,Startup,Data Analyst,34,1,0,0,0,0,Aptitude,Tech,Tech,1,0,0,Round2
190,3,CSE,7.73,2,1,6,AI,Mid,GenAI Engineer,31,1,1,0,1,0,GD,Coding,HR,0,0,1,Round1
191,3,CSE,6.34,2,1,9,AI,Startup,AI Engineer,18,1,1,1,1,0,Aptitude,Tech,HR,0,0,0,Round1
192,1,CSE,7.14,0,2,4,DS,Startup,Data Analyst,5,1,0,1,0,0,Aptitude,Coding,HR,1,1,1,Selected
193,3,CSE,7.73,2,1,2,DS,Top,Data Scientist,23,1,1,0,1,0,GD,Coding,Tech,1,0,0,Round2
194,3,CSE,5.29,0,1,7,GenAI,Top,Data Analyst,17,1,1,1,1,0,GD,Tech,Tech,0,0,0,Round1
195,2,Civil,8.95,1,0,8,GenAI,Top,AI Engineer,21,1,0,1,0,0,Aptitude,Coding,Tech,1,0,0,Round2
196,2,Mechanical,5.9,0,0,5,DS,Top,AI Engineer,36,1,1,1,0,1,Coding,Tech,Tech,0,1,0,Round1
197,4,Civil,7.26,2,0,5,DS,Mid,Data Analyst,16,1,1,0,0,0,Coding,Tech,Tech,0,0,0,Round1
198,1,CSE,9.36,2,0,3,AI,Mid,AI Engineer,32,1,1,1,0,0,GD,Tech,HR,1,1,1,Selected
199,3,ECE,9.11,1,1,1,DS,Top,AI Engineer,23,1,0,1,0,0,Aptitude,Tech,HR,1,1,0,Round3
200,3,Civil,9.44,2,1,4,DS,Top,GenAI Engineer,29,1,1,1,0,0,Coding,Tech,Tech,1,1,1,Selected
201,4,Mechanical,8.56,1,0,9,DS,Startup,GenAI Engineer,8,1,1,1,0,0,Coding,Tech,Tech,0,0,0,Round1
202,3,CSE,6.18,0,2,3,DS,Startup,Data Scientist,7,1,1,1,0,0,Coding,Tech,HR,0,1,1,Round1
203,1,ECE,6.98,2,0,7,GenAI,Startup,Data Scientist,7,1,0,0,1,0,Aptitude,Coding,Tech,1,1,1,Selected
