Student_ID,College_Name,College_Tier,Department,CGPA,Domain,Program_Type,Program_Duration,Program_Completed,Hackathons_Attended,Project_Demo_Events,Workshops_Attended,Python_Projects,DataScience_Projects,BI_Projects,ML_Projects,DL_Projects,NLP_Projects,GenAI_Projects,AgenticAI_Projects,Posts_Per_Month,Posts_Per_Quarter,Posts_Per_Year,Project_Demo_Posts,Post_Type,Post_Category,Has_Github_Link,Has_App_Link,Avg_Likes_Current,Avg_Likes_Previous,Followers,Leads_Generated,Job_Inquiries,Like_Growth_%,Engagement_Rate,Project_Variation_Score,Demo_to_Post_Ratio,Posting_Consistency_Score,Exposure_Score,Execution_Score,Visibility_Score,Missing_Score,Completeness_Score,Placement_Readiness_Score
14,Tier3_College,1.0,Mechanical,6.65,AI,Internship,6,1,5,9,0,0,0,1,0,0,1,0,1,9,14,73,8,Image,Achievement,1.0,0.0,795.0,66,846,163,5.0,10.880597014925373,0.9386068476977568,3,0.8,1.125,14,9,7155,0.0,1.0,40.155
15,NIT,2.0,Mechanical,8.5,DS,Workshop,2,1,2,7,3,1,4,3,2,2,0,0,1,3,8,48,9,Carousel,Learning,1.0,0.0,1538.0,1247,2920,64,11.0,0.23317307692307693,0.5265320095857583,6,1.125,0.375,12,15,4614,0.0,1.0,41.614000000000004
16,Tier3_College,1.0,Mechanical,8.13,GenAI,Internship,7,1,5,3,6,2,4,2,2,0,1,1,1,2,27,51,7,Video,Achievement,1.0,0.0,,1001,3441,97,32.0,-0.3063872255489022,0.20162696106914585,7,1.75,0.25,14,20,1388,0.024390243902439025,0.975609756097561,45.14409756097561
17,Tier4_College,1.0,IT,8.0,nan,Bootcamp,3,1,9,5,5,2,2,2,0,2,1,2,1,9,17,111,8,Text,Internship,0.0,1.0,1427.0,1390,6193,33,,0.026599568655643422,0.23038424281562803,7,1.3333333333333333,1.125,19,15,12843,0.024390243902439025,0.975609756097561,56.599097560975615
18,IIT,2.0,IT,6.68,DS,Bootcamp,6,1,2,6,7,1,4,3,0,1,2,2,0,7,18,87,5,nan,Internship,0.0,0.0,632.0,1442,3488,7,,-0.5613305613305614,0.18114072800229292,6,0.7142857142857143,0.875,15,19,4424,0.024390243902439025,0.975609756097561,48.18009756097561
19,Tier3_College,3.0,nan,6.64,nan,Workshop,9,1,6,3,3,1,3,1,0,2,1,1,0,1,13,110,1,,Internship,1.0,0.0,,754,9598,128,0.0,1.5682119205298013,0.20189603083654548,6,0.25,0.125,12,18,1938,0.04878048780487805,0.9512195121951219,41.45019512195122
20,NIT,,Civil,9.37,GenAI,Bootcamp,10,0,9,9,0,1,4,3,4,2,2,2,1,2,23,10,4,Text,Internship,1.0,0.0,,316,3424,195,26.0,4.466876971608833,0.5056934306569343,8,0.4,0.25,18,29,3464,0.04878048780487805,0.9512195121951219,59.97619512195122
21,Tier4_College,4.0,ECE,7.72,nan,Fellowship,8,0,5,7,6,3,3,3,0,0,1,2,1,11,24,45,8,,Internship,0.0,0.0,1419.0,1473,561,76,,-0.036635006784260515,2.5249110320284696,6,1.0,1.375,18,21,15609,0.04878048780487805,0.9512195121951219,64.12119512195122
22,Tier3_College,4.0,Civil,6.36,AI,Workshop,6,1,2,8,4,4,1,0,3,2,2,0,1,5,10,49,1,,Project,1.0,0.0,1241.0,761,6493,47,43.0,0.6299212598425197,0.19109947643979058,6,0.1111111111111111,0.625,14,19,6205,0.024390243902439025,0.975609756097561,48.96109756097561
23,IIT,2.0,IT,7.72,nan,Fellowship,10,1,0,4,7,3,4,3,0,2,1,0,0,5,16,85,6,nan,Project,1.0,0.0,1343.0,708,4609,7,49.0,0.8956276445698167,0.2913232104121475,5,1.2,0.625,11,23,6715,0.0,1.0,50.715
24,IIT,2.0,ECE,6.33,nan,Bootcamp,5,1,9,2,5,3,0,3,0,0,0,2,1,11,16,23,3,Text,Achievement,1.0,0.0,1761.0,263,8277,114,26.0,5.674242424242424,0.21273254409277603,4,1.0,1.375,16,14,19371,0.0,1.0,59.370999999999995
25,Tier2_Engg,1.0,Mechanical,5.93,,Bootcamp,4,0,4,5,2,1,4,2,2,0,1,1,0,3,11,89,5,nan,Achievement,0.0,0.0,190.0,1200,9872,193,,-0.8409658617818485,0.019244403929909854,6,0.8333333333333334,0.375,11,15,570,0.04878048780487805,0.9512195121951219,36.082195121951216
26,Tier2_Engg,4.0,Civil,6.41,nan,Fellowship,8,1,7,9,6,0,4,1,3,2,1,2,0,2,9,44,8,,Learning,1.0,0.0,,1163,4763,55,15.0,-0.697594501718213,0.07367758186397985,6,0.8,0.25,22,21,702,0.04878048780487805,0.9512195121951219,53.21419512195122
27,NIT,1.0,Civil,8.14,nan,Workshop,6,1,9,6,4,3,1,1,1,1,0,2,0,9,5,62,9,Text,Project,1.0,0.0,136.0,196,9168,191,4.0,-0.30456852791878175,0.014832588068491658,6,1.2857142857142858,1.125,19,15,1224,0.0,1.0,45.224
28,Tier3_College,3.0,Civil,7.58,nan,Bootcamp,11,1,1,4,7,3,2,3,0,1,1,1,0,9,27,104,4,,Internship,1.0,1.0,924.0,613,3571,54,26.0,0.506514657980456,0.25867861142217247,6,0.8,1.125,12,22,8316,0.024390243902439025,0.975609756097561,52.072097560975614
29,Tier3_College,2.0,IT,5.82,,Fellowship,8,1,5,8,1,3,0,0,4,1,0,0,0,7,11,58,1,Text,Learning,,0.0,564.0,999,8864,147,31.0,-0.435,0.06362098138747885,3,0.1111111111111111,0.875,14,16,3948,0.04878048780487805,0.9512195121951219,43.460195121951216
30,Tier2_Engg,2.0,ECE,9.54,AI,Workshop,9,0,6,9,6,0,4,2,0,0,2,1,1,1,16,11,7,Text,Internship,1.0,,,567,2557,177,19.0,-0.02992957746478873,0.2150117279124316,5,0.7,0.125,21,19,550,0.04878048780487805,0.9512195121951219,50.06219512195122
31,Tier3_College,,Mechanical,7.49,GenAI,Internship,4,1,1,5,0,2,0,2,1,0,2,2,1,2,7,52,2,nan,Achievement,0.0,0.0,,284,3704,20,,-0.48771929824561405,0.03913630229419703,6,0.3333333333333333,0.25,6,14,290,0.07317073170731707,0.926829268292683,29.55829268292683
32,Tier3_College,4.0,IT,8.97,GenAI,Fellowship,10,1,3,4,2,2,4,3,2,1,0,1,1,8,6,30,3,,Learning,0.0,0.0,1249.0,56,8505,111,,20.92982456140351,0.1468375264519163,7,0.6,1.0,9,24,9992,0.04878048780487805,0.9512195121951219,52.50419512195123
33,IIT,4.0,Mechanical,6.65,GenAI,Bootcamp,2,1,8,5,6,3,2,1,0,1,2,0,1,10,10,54,1,,Achievement,1.0,1.0,1349.0,1471,4209,24,49.0,-0.08288043478260869,0.3204275534441805,6,0.16666666666666666,1.25,19,12,13490,0.024390243902439025,0.975609756097561,54.24609756097561
34,Tier2_Engg,3.0,CSE,9.79,DS,Internship,7,1,1,8,2,4,2,1,0,2,0,1,1,11,4,87,4,,Internship,0.0,0.0,1346.0,1366,3699,78,,-0.014630577907827359,0.3637837837837838,6,0.4444444444444444,1.375,11,18,14806,0.04878048780487805,0.9512195121951219,53.31819512195122
35,Tier4_College,4.0,CSE,8.76,nan,Internship,8,1,3,1,3,3,4,1,1,1,2,0,1,6,29,21,4,,Learning,0.0,0.0,693.0,676,8620,111,,0.025110782865583457,0.0803851061361791,7,2.0,0.75,7,21,4158,0.04878048780487805,0.9512195121951219,41.670195121951224
36,Tier2_Engg,3.0,Mechanical,7.27,nan,Fellowship,4,1,0,4,6,4,3,0,0,0,0,0,1,8,27,79,5,,Internship,1.0,0.0,1380.0,773,3721,17,33.0,0.7842377260981912,0.3707684040838259,3,1.0,1.0,10,12,11040,0.024390243902439025,0.975609756097561,42.79609756097561
37,Tier4_College,,CSE,9.51,GenAI,Bootcamp,2,1,8,1,5,4,1,2,3,2,2,2,0,10,28,112,7,Text,Learning,0.0,0.0,1797.0,372,147,5,,3.8203753351206435,12.141891891891891,7,3.5,1.25,14,18,17970,0.04878048780487805,0.9512195121951219,59.48219512195122
38,IIT,2.0,ECE,8.59,GenAI,Workshop,9,1,3,3,2,0,3,1,2,1,0,2,0,2,11,77,2,Text,Achievement,1.0,0.0,,1272,4253,148,5.0,-0.2741555380989788,0.21697226140103432,5,0.5,0.25,8,18,1846,0.024390243902439025,0.975609756097561,37.60209756097561
39,NIT,3.0,ECE,7.15,AI,Workshop,3,1,7,4,7,2,3,2,0,1,0,2,0,11,4,47,5,,Internship,0.0,,603.0,745,6052,1,,-0.1903485254691689,0.09962002312902693,5,1.0,1.375,18,13,6633,0.07317073170731707,0.926829268292683,46.90129268292684
40,Tier3_College,3.0,IT,9.87,DS,Bootcamp,3,1,2,9,1,4,2,3,4,2,0,2,0,7,10,87,5,,Internship,1.0,1.0,57.0,405,6755,199,29.0,-0.8571428571428571,0.008436944937833037,6,0.5,0.875,12,20,399,0.024390243902439025,0.975609756097561,42.15509756097561
41,IIT,2.0,Mechanical,6.49,nan,Workshop,9,0,0,7,4,0,0,3,1,1,0,2,1,2,10,101,4,Text,Achievement,1.0,,,929,4845,184,19.0,0.0967741935483871,0.21027651671481634,5,0.5,0.25,11,17,2038,0.04878048780487805,0.9512195121951219,39.55019512195122
42,Tier3_College,4.0,IT,6.28,AI,Bootcamp,8,1,7,1,6,1,4,2,3,1,0,1,1,9,7,47,8,,Project,,0.0,1716.0,86,7711,194,49.0,18.735632183908045,0.2225103734439834,7,4.0,1.125,14,21,15444,0.04878048780487805,0.9512195121951219,59.956195121951225
43,NIT,,ECE,9.47,GenAI,Workshop,4,1,3,6,0,0,0,3,1,1,2,2,1,1,18,118,9,Text,Learning,1.0,0.0,,158,363,127,33.0,6.270440251572327,3.173076923076923,6,1.2857142857142858,0.125,9,14,1155,0.04878048780487805,0.9512195121951219,33.667195121951224
44,NIT,3.0,ECE,8.54,GenAI,Internship,10,1,3,8,0,3,0,3,4,1,2,2,0,5,3,25,1,,Project,1.0,0.0,1962.0,486,1367,66,35.0,3.030800821355236,1.4342105263157894,6,0.1111111111111111,0.625,11,25,9810,0.024390243902439025,0.975609756097561,55.566097560975614
45,IIT,2.0,ECE,6.73,AI,Workshop,4,1,7,3,7,1,1,2,0,2,2,1,1,6,27,111,1,Text,Learning,0.0,0.0,1920.0,673,6965,174,,1.8501483679525224,0.2756244616709733,7,0.25,0.75,17,14,11520,0.024390243902439025,0.975609756097561,52.27609756097561
46,NIT,3.0,Civil,6.16,nan,Fellowship,1,1,4,0,3,0,2,2,3,1,1,0,1,3,22,88,5,,Internship,1.0,1.0,325.0,733,1749,113,28.0,-0.555858310626703,0.18571428571428572,6,5.0,0.375,7,11,975,0.024390243902439025,0.975609756097561,28.731097560975613
47,Tier4_College,4.0,CSE,5.89,,Bootcamp,1,1,3,7,7,1,2,2,0,2,0,2,1,7,26,27,8,,Internship,1.0,1.0,1499.0,127,4315,48,35.0,10.71875,0.34731232622798885,6,1.0,0.875,17,11,10493,0.04878048780487805,0.9512195121951219,48.00519512195122
48,NIT,3.0,IT,6.57,AI,Internship,11,1,3,0,0,0,4,2,0,1,1,2,1,7,27,71,2,,Achievement,1.0,1.0,931.0,385,4981,91,17.0,1.4145077720207253,0.18687274187073463,6,2.0,0.875,3,22,6517,0.024390243902439025,0.975609756097561,41.27309756097561
49,Tier3_College,1.0,IT,5.63,,Bootcamp,9,0,0,4,0,0,4,0,1,1,0,2,0,11,11,107,6,Image,Learning,1.0,,784.0,297,5321,84,36.0,1.6342281879194631,0.1473130402104472,4,1.2,1.375,4,17,8624,0.04878048780487805,0.9512195121951219,39.13619512195122
50,Tier3_College,3.0,ECE,5.73,,Workshop,1,1,0,3,6,4,4,1,0,2,0,1,0,8,22,99,4,,Internship,1.0,0.0,821.0,764,8610,193,25.0,0.07450980392156863,0.09534316571826733,5,1.0,1.0,9,13,6568,0.04878048780487805,0.9512195121951219,38.08019512195122
51,Tier3_College,1.0,Civil,8.88,GenAI,Internship,2,1,8,7,0,4,3,3,2,0,0,1,1,3,11,46,6,Video,Internship,1.0,1.0,501.0,395,4636,191,27.0,0.2676767676767677,0.10804399396161311,6,0.75,0.375,15,16,1503,0.0,1.0,42.503
52,Tier3_College,4.0,IT,5.32,,Fellowship,7,0,7,6,4,3,2,1,1,1,0,2,1,9,6,96,4,,Project,1.0,0.0,411.0,821,4898,101,48.0,-0.49878345498783455,0.0838946723821188,7,0.5714285714285714,1.125,17,18,3699,0.04878048780487805,0.9512195121951219,48.21119512195122
53,Tier4_College,2.0,nan,7.2,AI,Bootcamp,2,1,2,1,4,3,3,3,0,0,0,1,1,9,11,42,5,Text,Learning,1.0,0.0,399.0,1038,5394,134,41.0,-0.615014436958614,0.07395736793327155,5,2.5,1.125,7,13,3591,0.0,1.0,33.591
54,Tier2_Engg,3.0,IT,7.02,nan,Fellowship,11,1,6,5,1,3,3,3,0,2,2,2,1,3,22,65,7,,Project,1.0,0.0,174.0,416,8431,67,43.0,-0.580335731414868,0.020635673624288427,7,1.1666666666666667,0.375,12,27,522,0.024390243902439025,0.975609756097561,49.27809756097561
55,IIT,4.0,Civil,9.8,DS,Workshop,4,0,6,8,3,2,0,0,4,2,2,0,1,4,17,55,2,,Internship,1.0,0.0,1468.0,746,1020,50,32.0,0.9665327978580991,1.4378060724779629,5,0.2222222222222222,0.5,17,15,5872,0.024390243902439025,0.975609756097561,47.62809756097561
56,Tier3_College,1.0,ECE,7.33,nan,Fellowship,10,1,0,3,5,3,2,3,2,1,1,1,0,4,29,19,0,Carousel,Learning,1.0,1.0,199.0,710,9533,12,25.0,-0.7187060478199718,0.020872666247115586,7,0.0,0.5,8,23,796,0.0,1.0,41.796
57,NIT,2.0,Civil,5.8,,Internship,2,0,0,9,0,3,0,2,4,1,0,1,0,5,14,84,8,nan,Project,,1.0,1911.0,609,9075,135,40.0,2.134426229508197,0.21055531070956368,5,0.8,0.625,9,13,9555,0.04878048780487805,0.9512195121951219,41.067195121951215
58,Tier3_College,2.0,CSE,5.44,,Fellowship,3,0,9,4,7,4,2,0,4,0,1,0,1,2,20,104,4,Image,Learning,0.0,0.0,,865,1779,49,,-0.7147806004618937,0.13820224719101123,5,0.8,0.25,20,15,492,0.07317073170731707,0.926829268292683,44.76029268292683
59,NIT,2.0,IT,8.66,DS,Workshop,6,1,6,5,4,1,0,3,0,2,0,0,0,11,3,85,4,Text,Achievement,1.0,1.0,1795.0,1306,9561,95,2.0,0.37413925019127775,0.18772223384229242,3,0.6666666666666666,1.375,15,12,19745,0.0,1.0,56.745000000000005
60,NIT,2.0,CSE,5.74,,Internship,7,1,6,7,3,0,0,0,0,1,0,1,0,9,3,115,3,Text,Achievement,0.0,0.0,1401.0,421,8889,66,,2.322274881516588,0.1575928008998875,2,0.375,1.125,16,9,12609,0.04878048780487805,0.9512195121951219,47.12119512195122
61,Tier3_College,,IT,9.69,DS,Workshop,2,1,4,8,4,0,0,0,0,1,0,1,0,3,15,100,6,Video,Achievement,0.0,1.0,1208.0,1031,8445,99,,0.17151162790697674,0.14302628463177836,2,0.6666666666666666,0.375,16,4,3624,0.04878048780487805,0.9512195121951219,33.13619512195122
62,Tier4_College,4.0,CSE,7.8,AI,Bootcamp,9,0,5,6,1,0,1,2,2,2,0,0,0,5,11,45,1,,Learning,0.0,0.0,1835.0,1050,4102,68,,0.7469077069457659,0.44723373141603706,4,0.14285714285714285,0.625,12,16,9175,0.04878048780487805,0.9512195121951219,46.68719512195122
63,NIT,4.0,IT,7.01,nan,Internship,2,1,3,9,3,1,3,3,3,1,0,0,1,3,6,31,2,,Achievement,1.0,0.0,175.0,1060,8515,175,30.0,-0.8341187558906692,0.020549553781117894,6,0.2,0.375,15,14,525,0.024390243902439025,0.975609756097561,39.28109756097561
64,NIT,,nan,8.42,DS,Workshop,4,1,0,3,7,2,4,1,4,1,2,0,0,10,14,26,1,Image,Project,1.0,0.0,337.0,988,2240,99,28.0,-0.6582406471183013,0.1503792949576082,6,0.25,1.25,10,18,3370,0.024390243902439025,0.975609756097561,41.12609756097561
65,Tier3_College,2.0,ECE,5.99,,Fellowship,5,1,0,7,0,4,4,2,1,2,2,0,1,3,13,20,8,Image,Achievement,1.0,0.0,1938.0,1259,3395,9,19.0,0.5388888888888889,0.5706713780918727,7,1.0,0.375,7,21,5814,0.024390243902439025,0.975609756097561,43.57009756097561
66,NIT,2.0,nan,6.91,GenAI,Fellowship,8,1,2,1,4,2,0,3,1,0,0,2,1,4,23,89,6,Video,Internship,1.0,0.0,574.0,420,9282,153,41.0,0.3657957244655582,0.06183345901109555,5,3.0,0.5,7,17,2296,0.0,1.0,36.296
67,NIT,2.0,Mechanical,5.17,,Workshop,4,1,3,7,0,4,4,0,3,0,0,0,1,2,13,24,1,Carousel,Internship,1.0,0.0,,1342,7073,61,36.0,0.18912881608339538,0.22561492790500423,4,0.125,0.25,10,16,3192,0.04878048780487805,0.9512195121951219,38.704195121951216
68,Tier3_College,4.0,Civil,9.39,GenAI,Bootcamp,1,1,1,3,7,1,3,3,3,2,0,2,1,5,29,24,5,,Achievement,1.0,1.0,424.0,682,4647,39,36.0,-0.37774524158125916,0.09122203098106713,7,1.25,0.625,11,16,2120,0.024390243902439025,0.975609756097561,38.87609756097561
69,Tier3_College,3.0,IT,7.13,GenAI,Workshop,7,1,2,2,0,4,2,0,0,0,0,0,1,1,25,12,3,,Achievement,,0.0,,1021,8826,108,39.0,0.0136986301369863,0.11725388014047808,3,1.0,0.125,4,14,1035,0.07317073170731707,0.926829268292683,28.30329268292683
70,IIT,2.0,Civil,8.79,AI,Workshop,9,1,4,7,3,0,3,0,4,1,0,2,0,10,6,73,4,Text,Project,0.0,0.0,1834.0,761,7477,50,,1.4081364829396326,0.24525274137469913,4,0.5,1.25,14,19,18340,0.024390243902439025,0.975609756097561,61.096097560975615
71,Tier4_College,2.0,IT,9.58,nan,Workshop,11,0,9,2,1,4,0,0,1,0,0,2,0,2,26,97,3,Text,Project,0.0,1.0,,584,412,36,,0.07692307692307693,1.523002421307506,3,1.0,0.25,12,18,1258,0.04878048780487805,0.9512195121951219,40.77019512195122
72,Tier4_College,3.0,Mechanical,8.26,nan,Workshop,11,1,8,9,6,3,2,3,4,2,1,1,0,5,5,65,2,,Learning,1.0,1.0,946.0,1276,6240,136,42.0,-0.25841816758026626,0.1515782727127063,7,0.2,0.625,23,27,4730,0.024390243902439025,0.975609756097561,64.48609756097561
73,NIT,3.0,ECE,6.88,nan,Bootcamp,5,0,4,8,1,1,1,2,2,0,0,1,1,8,4,71,0,,Learning,0.0,0.0,494.0,182,1473,61,,1.7049180327868851,0.33514246947082765,6,0.0,1.0,13,13,3952,0.04878048780487805,0.9512195121951219,39.46419512195122
74,Tier4_College,4.0,ECE,8.1,nan,Fellowship,11,1,1,5,0,0,1,0,1,2,0,1,0,2,28,108,9,,Project,0.0,,,89,6780,14,,4.122222222222222,0.06783660227105147,4,1.5,0.25,6,16,920,0.0975609756097561,0.9024390243902439,31.94439024390244
75,NIT,2.0,Civil,6.8,DS,Workshop,2,0,6,7,1,3,0,0,1,0,0,0,1,11,15,54,9,nan,Project,1.0,1.0,1714.0,388,499,199,19.0,3.4087403598971724,3.428,3,1.125,1.375,14,7,18854,0.0,1.0,49.854
76,IIT,,nan,7.84,GenAI,Bootcamp,11,1,3,5,1,4,1,0,4,2,1,1,1,6,16,80,1,Video,Achievement,,1.0,1703.0,1135,354,74,47.0,0.5,4.79718309859155,7,0.16666666666666666,0.75,9,25,10218,0.04878048780487805,0.9512195121951219,53.730195121951226
77,Tier3_College,3.0,Mechanical,7.16,DS,Internship,9,1,9,2,5,3,1,0,4,2,2,0,1,2,12,44,7,,Internship,,0.0,,135,6414,77,8.0,10.264705882352942,0.2386593920498831,6,2.3333333333333335,0.25,16,22,3062,0.07317073170731707,0.926829268292683,50.330292682926824
78,Tier3_College,4.0,Civil,5.75,,Internship,3,1,6,1,0,0,2,2,3,0,2,2,0,11,26,24,8,,Project,1.0,0.0,345.0,890,2882,13,35.0,-0.611672278338945,0.11966701352757544,5,4.0,1.375,7,14,3795,0.04878048780487805,0.9512195121951219,34.307195121951224
79,Tier3_College,,ECE,8.9,DS,Bootcamp,2,1,2,3,6,1,4,1,2,1,1,1,1,11,7,103,8,Text,Achievement,0.0,0.0,299.0,835,1070,78,,-0.6411483253588517,0.2791783380018674,8,2.0,1.375,11,14,3289,0.04878048780487805,0.9512195121951219,37.801195121951224
80,Tier4_College,,CSE,7.48,nan,Fellowship,4,1,6,7,2,1,4,1,0,1,2,0,0,11,15,69,1,nan,Learning,0.0,0.0,747.0,694,1022,6,,0.07625899280575539,0.7302052785923754,5,0.125,1.375,15,13,8217,0.04878048780487805,0.9512195121951219,45.72919512195122
81,IIT,1.0,Civil,5.95,,Bootcamp,4,1,1,6,3,2,3,0,3,0,1,1,1,9,21,91,1,Video,Learning,1.0,1.0,75.0,1071,1348,80,28.0,-0.9291044776119403,0.05559673832468495,6,0.14285714285714285,1.125,10,15,675,0.024390243902439025,0.975609756097561,35.43109756097561
82,Tier4_College,2.0,IT,9.46,GenAI,Workshop,11,1,4,5,5,2,1,1,2,0,0,2,0,11,20,77,6,Image,Achievement,1.0,0.0,406.0,1320,2213,198,29.0,-0.691900075700227,0.18337850045167117,5,1.0,1.375,14,19,4466,0.0,1.0,47.466
83,Tier4_College,3.0,ECE,9.27,GenAI,Fellowship,10,1,7,4,0,4,0,3,0,1,0,1,1,2,12,20,9,,Internship,0.0,0.0,,272,3042,185,,-0.42124542124542125,0.051593821886296416,5,1.8,0.25,11,20,314,0.07317073170731707,0.926829268292683,40.582292682926834
84,IIT,3.0,IT,7.79,AI,Bootcamp,5,1,7,9,2,1,4,3,2,0,0,1,0,8,16,35,1,,Achievement,1.0,1.0,1976.0,779,1600,39,13.0,1.5346153846153847,1.2342286071205497,5,0.1,1.0,18,16,15808,0.024390243902439025,0.975609756097561,59.56409756097561
85,IIT,3.0,Mechanical,9.85,DS,Fellowship,1,1,8,6,5,3,2,3,0,0,0,0,0,7,11,62,5,,Achievement,1.0,0.0,1463.0,868,8870,68,10.0,0.6846950517836594,0.16491940029308985,3,0.7142857142857143,0.875,19,9,10241,0.024390243902439025,0.975609756097561,47.99709756097561
86,IIT,,nan,9.64,DS,Bootcamp,10,1,9,1,0,4,1,1,3,0,2,1,0,4,29,61,9,Image,Project,0.0,1.0,1070.0,1381,3472,199,,-0.22503617945007237,0.3080909876187734,6,4.5,0.5,10,22,4280,0.04878048780487805,0.9512195121951219,45.792195121951224
87,IIT,1.0,nan,9.49,DS,Workshop,11,0,8,4,2,1,1,2,1,2,0,0,1,11,15,38,7,Text,Internship,0.0,0.0,724.0,777,8375,104,,-0.06812339331619537,0.08643744030563515,6,1.4,1.375,14,19,7964,0.024390243902439025,0.975609756097561,50.72009756097561
