Student_ID,College_Tier,Department,Module,Topic,Subtopic,Difficulty,Correct,Time_Taken,Attempts,Hint_Used,Test_Cases_Passed
3557,2,Mechanical,ProblemSolving,Lists,Intermediate,Easy,0,137,2,0,45
3891,3,CSE,DS_AI,Classes,Intermediate,Hard,1,250,3,0,68
8839,3,Mechanical,DS,Lists,Basic,Easy,0,267,1,0,17
14503,1,Mechanical,OOP,Classes,EdgeCases,Medium,1,211,2,1,10
10628,4,CSE,Functions,Functions,Intermediate,Medium,1,188,3,0,4
8793,1,ECE,Functions,Classes,Basic,Easy,1,38,1,0,63
10556,3,CSE,ProblemSolving,Variables,Basic,Medium,1,82,3,1,21
10254,4,CSE,DS,Pandas,EdgeCases,Easy,1,36,3,1,47
8434,1,Civil,OOP,Classes,EdgeCases,Easy,1,33,2,0,16
10234,1,ECE,DS,Files,EdgeCases,Easy,0,95,2,1,34
11017,4,CSE,DS,Arrays,Basic,Hard,0,289,2,1,9
2613,1,Civil,Basics,Files,Intermediate,Easy,1,204,3,0,71
15788,3,ECE,DS_AI,Classes,EdgeCases,Medium,1,159,3,0,43
17160,4,ECE,OOP,Lists,Basic,Hard,1,187,1,1,59
12207,3,ECE,DS_AI,Loops,EdgeCases,Hard,0,30,2,0,2
8227,2,Mechanical,DS,Functions,EdgeCases,Hard,1,235,3,0,32
14542,1,ECE,OOP,Files,EdgeCases,Easy,1,40,3,1,6
3153,2,Civil,Functions,Pandas,EdgeCases,Hard,0,34,1,0,99
1586,2,CSE,OOP,Arrays,Basic,Easy,0,145,2,0,1
3944,2,Mechanical,Functions,Lists,Intermediate,Hard,0,291,1,1,27
19458,1,ECE,OOP,Functions,Intermediate,Medium,0,153,2,0,57
1022,4,Civil,OOP,Functions,Basic,Hard,0,30,2,0,39
11654,3,Mechanical,ProblemSolving,Pandas,EdgeCases,Easy,0,259,1,0,32
10806,1,CSE,Functions,Files,Basic,Hard,1,176,3,1,0
13418,3,Civil,Advanced,Pandas,Intermediate,Medium,1,267,2,0,80
7990,4,CSE,ProblemSolving,Lists,Intermediate,Hard,1,266,1,1,90
9693,1,Mechanical,Advanced,Files,Intermediate,Hard,0,241,1,0,46
12991,3,CSE,Advanced,Loops,EdgeCases,Medium,0,99,1,0,24
6874,2,Civil,ProblemSolving,Lists,EdgeCases,Medium,1,183,1,0,34
5676,1,ECE,OOP,Classes,EdgeCases,Medium,0,244,3,1,90
162,3,Mechanical,Functions,Classes,EdgeCases,Easy,0,266,2,0,31
4298,2,ECE,DS,Functions,Intermediate,Hard,1,119,1,1,49
996,4,Civil,Basics,Variables,EdgeCases,Easy,1,271,2,1,57
11535,2,Mechanical,DS_AI,Arrays,Basic,Medium,1,128,2,0,40
7630,2,CSE,Control,Pandas,EdgeCases,Easy,1,205,2,0,64
1017,2,Civil,Control,Pandas,Intermediate,Easy,1,293,1,1,70
8530,3,ECE,Advanced,Variables,Intermediate,Easy,0,249,2,0,37
17263,3,ECE,Control,Arrays,Intermediate,Medium,1,174,3,1,86
9269,4,CSE,Advanced,Arrays,Basic,Medium,0,220,2,1,30
12186,2,Civil,DS_AI,Arrays,Basic,Hard,0,70,1,0,57
6332,2,CSE,Functions,Loops,Basic,Easy,1,233,2,0,79
8572,2,Mechanical,DS,Variables,Intermediate,Hard,1,31,1,0,40
7209,2,Mechanical,Control,Files,Basic,Easy,0,229,1,0,30
5277,2,Mechanical,DS,Loops,Intermediate,Hard,1,196,3,1,76
18447,1,CSE,ProblemSolving,Functions,Basic,Easy,0,44,3,1,8
16449,4,CSE,Control,Loops,Basic,Hard,1,241,1,0,3
16217,3,Civil,Control,Loops,Intermediate,Hard,0,129,2,0,30
8007,3,ECE,Basics,Classes,EdgeCases,Hard,1,208,3,1,52
2569,1,Mechanical,Functions,Functions,EdgeCases,Easy,1,10,2,1,34
2028,3,Civil,Functions,Lists,Basic,Medium,1,176,1,0,59
2696,2,Civil,Advanced,Functions,Intermediate,Medium,0,158,1,0,99
15423,3,ECE,Advanced,Pandas,EdgeCases,Hard,1,127,1,0,34
5259,2,CSE,OOP,Arrays,Intermediate,Medium,1,18,2,0,41
6737,4,ECE,ProblemSolving,Pandas,EdgeCases,Medium,0,132,1,0,32
392,3,Mechanical,Basics,Files,Basic,Easy,1,206,2,0,25
13987,1,Mechanical,Advanced,Variables,Intermediate,Easy,0,61,2,0,51
12667,3,Mechanical,OOP,Classes,Intermediate,Hard,0,83,1,0,53
5893,2,Civil,OOP,Classes,EdgeCases,Hard,1,10,1,1,40
3562,1,ECE,Basics,Classes,Basic,Easy,0,43,2,0,54
6185,2,CSE,Advanced,Classes,EdgeCases,Easy,1,248,3,1,39
19484,4,Mechanical,ProblemSolving,Functions,Intermediate,Easy,0,49,1,1,29
8393,3,CSE,OOP,Lists,EdgeCases,Medium,1,97,2,0,69
13068,4,Mechanical,Basics,Lists,Basic,Easy,1,258,1,0,2
15266,4,Civil,Advanced,Functions,Basic,Easy,1,277,3,0,98
19489,1,Civil,Basics,Files,EdgeCases,Medium,0,118,2,0,31
2455,2,Mechanical,Control,Arrays,Intermediate,Medium,0,166,3,0,9
11838,3,Civil,DS_AI,Lists,EdgeCases,Medium,1,113,1,0,56
14040,1,CSE,Basics,Pandas,Intermediate,Hard,1,287,3,0,40
19116,3,Civil,DS_AI,Files,EdgeCases,Medium,1,269,3,0,11
10966,4,ECE,ProblemSolving,Pandas,Basic,Easy,1,255,1,0,5
9763,1,Mechanical,Basics,Loops,EdgeCases,Hard,1,233,3,0,11
5057,4,ECE,Functions,Functions,Basic,Medium,1,90,1,0,73
14949,3,ECE,DS_AI,Functions,Intermediate,Easy,1,232,3,0,16
8111,4,Mechanical,DS,Classes,Intermediate,Medium,1,129,1,1,31
13774,4,Mechanical,OOP,Loops,Basic,Medium,1,259,2,1,1
17413,1,Civil,ProblemSolving,Files,EdgeCases,Easy,1,295,1,0,48
503,4,Civil,ProblemSolving,Pandas,Intermediate,Medium,1,199,2,1,60
6911,4,ECE,OOP,Arrays,Basic,Hard,1,28,1,0,22
12686,2,ECE,OOP,Pandas,Basic,Medium,0,70,3,1,5
207,3,ECE,DS,Functions,Intermediate,Easy,1,293,3,0,27
17869,3,Civil,DS_AI,Classes,Basic,Medium,0,241,3,0,73
15935,4,ECE,Basics,Classes,Basic,Easy,0,204,3,0,47
17248,3,CSE,DS,Files,Intermediate,Medium,0,135,3,1,66
19175,1,Mechanical,DS_AI,Arrays,Intermediate,Easy,0,206,1,1,99
8756,1,Civil,DS_AI,Files,Basic,Easy,0,294,3,0,35
12384,3,CSE,Functions,Functions,Basic,Medium,1,249,3,1,86
18142,1,Mechanical,OOP,Variables,EdgeCases,Medium,1,63,2,0,29
14821,2,CSE,Functions,Files,EdgeCases,Easy,1,166,3,1,48
7575,4,Civil,ProblemSolving,Lists,Basic,Easy,1,207,2,1,14
6375,3,Civil,Basics,Files,EdgeCases,Hard,1,150,3,0,95
1679,2,Mechanical,Advanced,Lists,Intermediate,Medium,1,169,3,0,68
19627,3,Civil,ProblemSolving,Loops,Intermediate,Hard,1,128,1,0,9
1060,3,Civil,OOP,Pandas,Basic,Medium,1,83,2,0,39
16199,3,Mechanical,Basics,Variables,EdgeCases,Hard,1,85,2,0,26
9915,2,ECE,DS,Variables,Intermediate,Easy,1,186,1,1,31
19542,1,CSE,Control,Classes,Basic,Hard,1,22,3,0,28
10818,2,Civil,DS,Arrays,EdgeCases,Easy,0,217,3,1,81
10922,2,Civil,Advanced,Files,Intermediate,Hard,1,103,1,1,32
9790,2,CSE,DS_AI,Pandas,EdgeCases,Hard,1,252,1,0,87
16313,4,Civil,OOP,Classes,EdgeCases,Hard,0,171,1,0,78
11253,3,CSE,Advanced,Pandas,Basic,Medium,1,288,2,0,31
2694,4,CSE,Advanced,Functions,Basic,Medium,0,188,1,0,68
13932,1,Civil,DS_AI,Variables,Basic,Easy,1,287,3,1,42
3628,1,Civil,Advanced,Functions,Basic,Hard,0,119,3,0,79
16158,1,ECE,Advanced,Pandas,Intermediate,Hard,1,173,2,0,84
10174,1,Mechanical,Functions,Variables,EdgeCases,Medium,1,43,3,0,15
18048,2,ECE,OOP,Pandas,Basic,Medium,0,228,2,0,60
10231,4,Civil,Control,Files,EdgeCases,Medium,0,44,3,0,83
15708,4,Civil,ProblemSolving,Arrays,EdgeCases,Hard,1,96,1,0,70
11495,1,CSE,DS_AI,Functions,Basic,Easy,0,112,2,1,45
1307,4,CSE,Advanced,Lists,Basic,Hard,1,136,2,0,1
6777,4,Civil,Functions,Variables,EdgeCases,Medium,1,235,3,0,58
9475,4,Civil,DS,Loops,Intermediate,Easy,1,134,2,0,24
7527,4,CSE,Basics,Functions,Basic,Medium,1,128,2,1,5
5531,4,CSE,ProblemSolving,Classes,Intermediate,Easy,1,285,1,1,64
3749,2,Civil,OOP,Classes,Intermediate,Easy,1,100,2,1,79
13546,2,CSE,DS,Lists,EdgeCases,Easy,0,50,1,1,38
664,4,ECE,DS_AI,Classes,Basic,Medium,1,41,3,0,54
1999,4,ECE,ProblemSolving,Loops,Basic,Hard,0,53,3,0,98
7995,4,Civil,Control,Functions,EdgeCases,Medium,1,226,3,0,6
17880,1,Mechanical,ProblemSolving,Arrays,EdgeCases,Easy,1,59,3,0,8
3305,1,Mechanical,Basics,Functions,Basic,Easy,1,27,3,1,4
18238,4,Mechanical,DS_AI,Functions,Basic,Medium,0,114,1,0,35
13809,2,ECE,ProblemSolving,Variables,EdgeCases,Hard,1,123,1,1,44
6586,1,Civil,ProblemSolving,Arrays,Intermediate,Easy,1,166,1,0,78
17676,3,Civil,DS,Files,Basic,Easy,0,104,3,0,32
19966,1,CSE,Advanced,Loops,Intermediate,Medium,0,296,1,1,10
11650,1,ECE,Basics,Lists,Basic,Hard,1,201,2,1,8
1637,3,CSE,Advanced,Arrays,Basic,Medium,1,59,2,0,22
17083,4,Civil,DS_AI,Variables,Intermediate,Hard,1,41,2,0,16
4738,1,ECE,Basics,Variables,EdgeCases,Medium,1,221,2,1,86
14556,1,CSE,Basics,Pandas,Basic,Hard,1,141,2,0,12
13878,4,Civil,Functions,Variables,Intermediate,Hard,0,199,3,0,68
855,1,Civil,DS_AI,Lists,EdgeCases,Medium,0,146,2,0,96
5856,1,ECE,DS_AI,Variables,EdgeCases,Hard,1,131,1,1,79
7393,4,Mechanical,ProblemSolving,Pandas,Basic,Medium,1,216,1,0,40
13950,1,ECE,DS_AI,Lists,Basic,Medium,1,53,1,1,4
18092,4,Civil,OOP,Variables,Basic,Easy,0,245,1,0,97
5792,1,ECE,Functions,Variables,Basic,Medium,1,114,3,1,21
4932,4,CSE,Functions,Classes,Basic,Hard,1,40,3,0,68
19895,3,ECE,DS_AI,Pandas,Basic,Hard,0,134,2,0,69
203,1,Mechanical,DS_AI,Lists,EdgeCases,Hard,0,60,1,0,82
11448,3,Mechanical,Functions,Variables,Basic,Easy,1,52,3,0,9
12689,2,Mechanical,OOP,Arrays,Intermediate,Medium,0,297,3,0,95
4390,2,Mechanical,OOP,Functions,Intermediate,Hard,1,295,2,1,38
2328,3,ECE,ProblemSolving,Lists,Intermediate,Medium,1,295,1,0,36
8005,1,Civil,Advanced,Arrays,EdgeCases,Medium,1,106,3,1,59
19316,3,ECE,OOP,Arrays,Intermediate,Easy,0,22,2,0,77
7778,3,ECE,Control,Loops,Basic,Hard,0,279,3,0,8
198,4,Civil,Control,Files,Basic,Medium,0,293,3,0,30
1931,3,CSE,Advanced,Lists,Intermediate,Easy,0,34,1,0,98
11775,3,ECE,ProblemSolving,Pandas,Basic,Medium,1,227,2,0,0
15088,4,Mechanical,Basics,Functions,Intermediate,Easy,0,89,3,0,3
9340,4,ECE,ProblemSolving,Lists,EdgeCases,Medium,0,175,3,0,93
11590,4,ECE,ProblemSolving,Lists,Basic,Hard,0,139,1,0,75
18896,3,CSE,DS,Variables,Basic,Easy,1,21,1,0,90
15709,1,Mechanical,ProblemSolving,Files,EdgeCases,Hard,1,169,1,1,44
17044,2,ECE,ProblemSolving,Functions,EdgeCases,Hard,0,236,1,0,85
2812,3,Civil,OOP,Loops,Intermediate,Hard,0,65,1,1,67
14244,1,Mechanical,DS_AI,Files,Basic,Hard,1,239,3,0,31
6547,4,CSE,Basics,Functions,Intermediate,Medium,1,34,1,0,98
1987,3,Civil,Basics,Files,Basic,Medium,1,97,2,0,95
8339,3,Mechanical,DS_AI,Files,Intermediate,Medium,1,40,2,0,33
11412,3,ECE,OOP,Pandas,EdgeCases,Medium,0,188,2,1,31
2912,4,CSE,OOP,Variables,Intermediate,Medium,0,203,2,1,27
1735,4,Civil,DS_AI,Lists,Basic,Hard,1,151,1,0,30
18228,2,ECE,Basics,Variables,Basic,Medium,1,253,2,1,36
8681,4,Mechanical,DS,Functions,EdgeCases,Hard,0,17,3,1,74
19361,4,Mechanical,Functions,Arrays,EdgeCases,Easy,1,25,1,0,60
18344,4,CSE,Basics,Classes,EdgeCases,Easy,0,58,1,1,79
5760,4,CSE,OOP,Classes,EdgeCases,Medium,0,297,2,1,30
2386,1,Mechanical,Control,Loops,Intermediate,Easy,0,148,3,0,31
11112,1,Civil,ProblemSolving,Loops,Basic,Easy,1,238,3,1,32
4737,3,Civil,ProblemSolving,Files,Basic,Hard,1,84,2,0,2
1803,1,Civil,Basics,Arrays,Basic,Easy,0,120,3,1,1
8156,4,CSE,DS_AI,Lists,Intermediate,Hard,0,172,1,1,97
8121,4,Civil,Control,Variables,EdgeCases,Easy,0,74,1,1,59
6617,2,ECE,OOP,Loops,Basic,Easy,1,25,2,1,32
14258,4,Civil,OOP,Arrays,Intermediate,Hard,1,247,2,0,77
14487,4,CSE,DS,Variables,EdgeCases,Medium,0,32,1,1,2
16647,3,Civil,Basics,Loops,Basic,Hard,1,82,1,0,8
14076,4,Civil,DS,Loops,Basic,Hard,0,113,1,0,11
9209,3,ECE,Functions,Arrays,Intermediate,Medium,0,11,2,0,71
16372,4,Civil,Functions,Files,Intermediate,Hard,1,281,1,0,19
11836,3,ECE,OOP,Variables,Basic,Medium,1,68,2,0,31
13169,3,Mechanical,ProblemSolving,Variables,Basic,Easy,0,29,1,1,81
2050,3,Mechanical,Functions,Files,Basic,Hard,1,259,3,0,37
5424,1,Mechanical,Advanced,Classes,Basic,Hard,0,61,2,0,85
14590,4,Civil,OOP,Classes,Intermediate,Easy,1,268,1,1,18
19493,4,ECE,ProblemSolving,Loops,EdgeCases,Hard,0,108,1,0,9
7159,2,Mechanical,ProblemSolving,Files,EdgeCases,Easy,1,238,1,0,7
10249,3,Mechanical,DS,Lists,Intermediate,Hard,1,208,2,0,33
7401,4,CSE,OOP,Variables,Basic,Hard,1,195,1,0,60
19555,2,ECE,DS_AI,Variables,Basic,Hard,0,88,3,0,65
9875,4,ECE,DS_AI,Variables,Intermediate,Medium,0,193,3,1,28
15152,3,ECE,Functions,Loops,Intermediate,Hard,1,277,1,1,88
18640,1,ECE,Basics,Lists,Basic,Hard,0,115,3,0,18
1155,2,Civil,Control,Files,EdgeCases,Hard,1,253,2,1,78
4500,2,Mechanical,DS,Variables,EdgeCases,Medium,0,177,3,0,25
6296,3,CSE,Advanced,Files,Basic,Easy,1,87,2,0,39
12184,3,ECE,DS_AI,Loops,Basic,Medium,1,211,1,0,89
12875,2,Civil,DS_AI,Variables,Intermediate,Hard,1,210,1,0,1
18033,4,Mechanical,Control,Pandas,EdgeCases,Easy,1,238,2,0,48
5540,1,Civil,OOP,Files,EdgeCases,Easy,1,129,2,1,86
9638,4,ECE,DS,Arrays,Intermediate,Hard,0,208,2,1,20
15587,3,ECE,Advanced,Loops,EdgeCases,Hard,1,49,1,0,46
2558,3,ECE,OOP,Lists,Basic,Hard,1,140,1,0,59
5593,4,ECE,DS,Pandas,Basic,Medium,0,65,1,0,21
16483,3,Civil,DS,Lists,Intermediate,Medium,0,275,2,0,88
2201,3,CSE,Functions,Loops,Basic,Medium,0,287,2,0,93
14173,2,Civil,ProblemSolving,Functions,Basic,Medium,1,65,3,1,73
2962,2,ECE,ProblemSolving,Variables,EdgeCases,Hard,0,242,1,1,95
14208,4,CSE,ProblemSolving,Classes,Basic,Easy,0,176,1,0,25
11970,3,ECE,Functions,Files,Basic,Medium,1,11,1,0,94
2870,3,CSE,OOP,Variables,Basic,Medium,0,39,3,0,48
17341,1,Civil,Functions,Files,Basic,Medium,0,204,2,0,24
13993,3,ECE,Functions,Variables,EdgeCases,Hard,1,66,2,1,20
5700,4,Mechanical,Control,Arrays,Intermediate,Easy,1,110,2,0,29
3988,1,Civil,Control,Classes,EdgeCases,Hard,0,187,3,0,99
13447,1,Civil,DS_AI,Arrays,Intermediate,Easy,1,155,2,0,18
1219,3,CSE,DS_AI,Variables,Intermediate,Easy,1,135,2,1,81
4736,4,CSE,DS,Arrays,EdgeCases,Hard,1,69,1,0,70
11297,3,Mechanical,DS,Loops,Intermediate,Hard,1,63,3,0,54
4556,3,CSE,Advanced,Functions,Intermediate,Easy,1,25,2,0,26
9147,1,Mechanical,DS,Arrays,Intermediate,Easy,0,102,1,0,70
8051,2,Civil,Control,Classes,Intermediate,Easy,0,154,1,0,18
12758,1,Civil,Advanced,Pandas,Basic,Easy,1,92,1,0,79
19831,3,Civil,OOP,Classes,Basic,Hard,1,146,1,0,33
17430,4,CSE,Advanced,Loops,Basic,Medium,1,125,1,0,31
6894,1,Mechanical,Control,Lists,Basic,Easy,1,262,2,0,99
18078,2,Civil,ProblemSolving,Arrays,Basic,Hard,0,112,1,0,65
14374,4,ECE,DS,Classes,Basic,Hard,0,170,3,0,3
14566,2,ECE,DS_AI,Lists,Basic,Easy,1,152,1,0,6
3437,1,Civil,Basics,Loops,Basic,Easy,1,61,2,0,66
8755,4,CSE,Control,Classes,Intermediate,Medium,1,45,1,1,60
10678,1,Civil,ProblemSolving,Pandas,Intermediate,Easy,0,170,3,0,49
5896,3,Mechanical,DS,Functions,EdgeCases,Hard,1,94,3,0,39
19739,2,ECE,Advanced,Classes,Basic,Easy,1,105,2,0,66
16610,1,ECE,DS_AI,Functions,Intermediate,Hard,1,55,2,0,47
15637,4,CSE,Advanced,Loops,Intermediate,Easy,0,267,3,0,39
7023,1,ECE,Functions,Variables,Intermediate,Medium,0,217,1,0,42
9152,1,Mechanical,ProblemSolving,Classes,EdgeCases,Easy,1,135,1,0,32
5601,1,CSE,Advanced,Loops,EdgeCases,Medium,1,105,1,0,82
7997,3,Civil,Control,Classes,Basic,Medium,0,130,2,0,94
9008,3,Mechanical,DS,Files,Basic,Hard,1,49,1,0,93
12947,1,Mechanical,Advanced,Lists,Basic,Easy,1,139,1,0,26
4643,4,ECE,Control,Files,EdgeCases,Easy,0,158,3,0,24
11313,4,CSE,ProblemSolving,Arrays,Intermediate,Easy,1,91,1,0,10
7680,4,Civil,DS,Variables,Intermediate,Medium,1,108,2,0,71
8209,3,ECE,ProblemSolving,Arrays,Basic,Easy,0,62,2,1,41
18590,1,Civil,ProblemSolving,Lists,EdgeCases,Easy,1,296,3,0,92
10717,4,Civil,OOP,Lists,Intermediate,Easy,1,35,1,1,1
17454,1,CSE,Advanced,Variables,Basic,Medium,0,40,2,0,73
3445,2,Mechanical,OOP,Loops,EdgeCases,Easy,0,202,1,0,60
10758,2,ECE,Functions,Lists,Basic,Medium,1,176,3,0,15
14435,4,Civil,DS,Functions,Intermediate,Hard,0,25,1,0,61
1061,4,Mechanical,Advanced,Pandas,Basic,Easy,1,51,2,0,61
18712,4,Civil,OOP,Files,Intermediate,Hard,1,232,3,1,71
3421,3,Mechanical,DS_AI,Arrays,EdgeCases,Easy,0,136,3,1,92
302,4,Mechanical,OOP,Loops,Intermediate,Medium,1,130,2,0,98
12469,1,Mechanical,DS,Pandas,Basic,Hard,1,211,1,1,97
16991,4,CSE,OOP,Arrays,Intermediate,Easy,1,248,1,0,0
19555,4,Civil,Functions,Variables,EdgeCases,Easy,0,26,2,1,74
700,4,CSE,ProblemSolving,Loops,Intermediate,Medium,1,103,3,0,62
191,3,ECE,DS,Files,Intermediate,Medium,0,297,3,0,99
10493,4,Civil,Advanced,Pandas,Intermediate,Medium,1,230,1,0,45
17365,2,Civil,Basics,Loops,Basic,Medium,1,93,2,0,76
2976,3,CSE,DS_AI,Classes,EdgeCases,Easy,0,295,2,1,0
6103,1,Civil,Advanced,Arrays,Basic,Easy,1,104,2,0,82
17569,3,ECE,OOP,Variables,EdgeCases,Hard,0,275,2,1,96
19712,1,ECE,ProblemSolving,Arrays,Basic,Easy,1,267,2,0,97
19779,2,CSE,OOP,Arrays,Intermediate,Hard,1,263,2,0,20
1817,4,Civil,Control,Lists,EdgeCases,Easy,1,297,3,0,89
570,2,ECE,DS_AI,Arrays,Intermediate,Hard,1,56,3,0,45
5443,3,CSE,OOP,Functions,EdgeCases,Easy,1,255,3,0,39
1896,3,Mechanical,DS,Variables,EdgeCases,Hard,1,16,3,1,56
19118,1,CSE,DS,Files,Intermediate,Hard,0,253,1,1,5
3864,3,Mechanical,Advanced,Functions,Intermediate,Medium,1,188,2,0,2
12914,3,ECE,OOP,Classes,Basic,Hard,0,179,2,1,25
7456,1,Civil,Basics,Classes,Basic,Medium,1,117,1,1,67
4015,2,Mechanical,Functions,Files,Basic,Medium,0,224,3,0,92
11094,3,CSE,DS,Loops,Intermediate,Easy,0,112,1,0,7
18071,4,Mechanical,Advanced,Functions,Intermediate,Easy,1,148,1,0,66
3010,3,Mechanical,Advanced,Arrays,Basic,Medium,1,121,1,0,4
16539,2,CSE,Basics,Arrays,Basic,Hard,0,184,1,0,25
10730,1,Mechanical,Advanced,Variables,Basic,Easy,0,48,2,0,36
1410,3,CSE,DS,Variables,Basic,Easy,0,195,2,1,13
12250,1,Civil,Advanced,Arrays,EdgeCases,Hard,1,129,3,0,21
785,3,Mechanical,DS_AI,Classes,Intermediate,Easy,1,273,3,0,89
8097,4,CSE,DS_AI,Variables,Basic,Hard,1,235,2,0,51
7561,1,ECE,DS_AI,Lists,Basic,Easy,0,184,2,0,39
12534,4,ECE,Advanced,Variables,Basic,Easy,0,158,2,0,22
7344,3,Mechanical,DS,Pandas,Basic,Medium,1,147,1,1,22
7207,1,CSE,Functions,Files,Basic,Medium,1,287,2,0,50
5802,1,CSE,Advanced,Variables,Intermediate,Medium,1,129,1,0,13
19191,3,ECE,DS_AI,Lists,Intermediate,Hard,1,264,2,0,68
16922,3,Mechanical,DS,Variables,Intermediate,Medium,1,121,2,1,34
5987,4,ECE,Advanced,Loops,EdgeCases,Hard,1,63,2,0,84
18226,3,Mechanical,Functions,Variables,Intermediate,Easy,1,78,1,0,18
10648,3,Civil,OOP,Classes,EdgeCases,Hard,0,297,1,0,59
8717,2,Mechanical,OOP,Classes,Basic,Easy,0,93,2,1,78
19335,3,ECE,DS_AI,Classes,Intermediate,Hard,1,26,2,0,55
12324,1,Civil,Advanced,Arrays,Basic,Hard,0,166,2,0,6
4781,3,Mechanical,Basics,Classes,Basic,Medium,1,70,3,0,76
2369,4,ECE,OOP,Files,EdgeCases,Easy,0,73,3,0,59
12040,3,Mechanical,OOP,Loops,EdgeCases,Hard,1,181,2,1,69
6656,2,Civil,DS_AI,Lists,Intermediate,Hard,1,70,1,0,51
8174,2,Mechanical,DS_AI,Lists,Basic,Easy,0,187,3,0,31
4496,2,CSE,OOP,Files,EdgeCases,Medium,1,69,3,0,25
10894,1,Mechanical,Basics,Lists,EdgeCases,Medium,0,216,3,1,19
13404,2,CSE,DS_AI,Files,EdgeCases,Hard,0,70,3,1,53
13122,4,CSE,Control,Arrays,Basic,Hard,1,144,2,0,75
10967,2,Mechanical,Control,Arrays,EdgeCases,Easy,1,11,1,0,20
854,4,Civil,Basics,Variables,Basic,Medium,0,213,2,1,8
16959,3,Mechanical,Functions,Lists,Intermediate,Easy,1,258,3,0,8
17533,1,ECE,Basics,Files,Intermediate,Hard,0,49,2,1,41
9908,3,Mechanical,Advanced,Variables,Basic,Hard,1,155,3,0,8
4778,4,Civil,OOP,Variables,EdgeCases,Hard,1,108,1,0,11
15339,1,ECE,Functions,Variables,EdgeCases,Medium,1,198,1,1,10
2492,4,Mechanical,Advanced,Classes,Intermediate,Hard,1,112,2,0,94
15329,1,Civil,Advanced,Lists,Basic,Easy,0,67,3,1,19
14600,2,ECE,ProblemSolving,Classes,EdgeCases,Medium,1,104,2,0,0
19509,3,ECE,Basics,Loops,EdgeCases,Easy,0,113,3,0,35
3052,2,CSE,Basics,Loops,Intermediate,Medium,1,82,3,0,38
15980,1,CSE,Functions,Pandas,Intermediate,Medium,1,88,2,1,13
16389,4,Civil,DS_AI,Classes,EdgeCases,Hard,0,268,1,0,13
877,1,Civil,DS_AI,Loops,Basic,Medium,1,135,3,0,16
4143,1,ECE,Functions,Lists,Basic,Hard,1,275,1,0,21
15203,2,Mechanical,Basics,Pandas,Intermediate,Hard,1,71,1,1,64
6967,1,ECE,Functions,Variables,Basic,Hard,1,110,2,1,86
7080,3,ECE,Basics,Loops,Basic,Hard,0,214,1,0,11
7988,3,CSE,Basics,Lists,Intermediate,Easy,1,240,3,0,3
6800,2,Civil,DS_AI,Variables,EdgeCases,Hard,1,216,2,0,57
4466,2,Civil,Control,Lists,Intermediate,Hard,1,284,1,1,62
17020,3,Civil,OOP,Arrays,Intermediate,Hard,1,158,2,0,35
