Lead_ID,College_Tier,Department,CGPA,Family_Income,Stage_Dropped,Time_to_First_Call,Followups,Call_Duration,Understands_Stipend,Understands_Experience,Primary_Concern,Trust_Score
L138,2,CSE,8.51,3-6L,After Application,9,3,24,No,No,Fee,4
L139,4,IT,6.84,3-6L,Before Counselling,33,0,6,No,No,Fee,7
L140,4,ECE,8.36,<3L,After Understanding,26,4,2,Yes,No,Trust,3
L141,2,Civil,9.16,<3L,After Application,16,0,21,Yes,No,Job,1
L142,2,Mechanical,9.26,<3L,After Counselling,25,4,6,Yes,Yes,Difficulty,6
L143,2,ECE,5.86,<3L,After Application,1,3,14,No,No,Fee,1
L144,2,IT,7.43,3-6L,After Understanding,21,2,21,No,No,Difficulty,2
L145,1,CSE,8.67,3-6L,After Understanding,20,2,14,Yes,Yes,Job,6
L146,3,ECE,8.87,3-6L,After Understanding,5,4,24,No,No,Difficulty,2
L147,3,Civil,8.92,<3L,After Understanding,17,4,19,No,No,Job,5
L148,1,IT,6.14,<3L,After Understanding,40,2,3,No,No,Difficulty,4
L149,2,CSE,5.96,<3L,After Application,38,1,19,No,Yes,Difficulty,8
L150,4,Mechanical,7.95,3-6L,After Application,1,1,11,Yes,No,Fee,2
L151,2,IT,8.71,3-6L,After Application,13,1,4,No,No,Trust,2
L152,1,CSE,6.6,<3L,After Application,18,3,22,No,Yes,Trust,4
L153,2,Mechanical,5.52,6-10L,After Understanding,4,4,11,No,Yes,Job,1
L154,4,CSE,8.58,<3L,After Understanding,47,0,10,Yes,No,Fee,3
L155,2,Mechanical,6.5,10L+,After Counselling,14,0,4,No,Yes,Difficulty,8
L156,3,Mechanical,5.83,<3L,After Application,5,4,23,Yes,No,Job,9
L157,3,Mechanical,5.74,6-10L,After Understanding,33,2,7,No,Yes,Trust,3
L158,2,CSE,6.57,<3L,After Counselling,26,4,12,Yes,Yes,Difficulty,7
L159,3,Mechanical,7.96,6-10L,After Counselling,4,1,7,Yes,Yes,Fee,4
L160,2,IT,6.79,<3L,Before Counselling,30,1,6,No,No,Job,3
L161,3,Civil,5.1,<3L,After Application,17,0,15,No,Yes,Time,5
L162,3,Civil,5.48,<3L,After Understanding,28,4,3,No,No,Fee,9
L163,3,Mechanical,6.45,10L+,After Application,6,0,2,No,No,Job,4
L164,1,Civil,8.3,10L+,After Counselling,27,2,6,No,Yes,Difficulty,8
L165,4,Civil,5.49,<3L,After Application,36,3,9,No,No,Job,2
L166,2,Mechanical,7.8,3-6L,Before Counselling,7,3,11,Yes,Yes,Fee,9
L167,1,Mechanical,5.6,3-6L,Before Counselling,1,2,22,No,No,Trust,1
L168,1,IT,6.06,<3L,After Understanding,10,1,20,No,Yes,Trust,8
L169,3,ECE,5.86,<3L,After Understanding,13,1,4,No,No,Fee,8
L170,3,CSE,5.34,10L+,After Understanding,41,1,19,Yes,Yes,Difficulty,3
L171,1,Mechanical,8.36,3-6L,After Understanding,32,0,8,Yes,Yes,Trust,1
L172,3,Mechanical,7.32,<3L,After Application,14,0,14,Yes,No,Time,4
L173,2,Civil,9.16,<3L,After Application,33,3,15,Yes,Yes,Time,3
L174,3,IT,5.49,<3L,After Counselling,30,1,19,No,Yes,Time,2
L175,1,Civil,5.72,3-6L,After Counselling,9,1,23,No,Yes,Job,6
L176,3,Mechanical,6.53,<3L,After Understanding,6,2,13,No,Yes,Difficulty,3
L177,2,Mechanical,8.83,3-6L,After Application,10,3,9,Yes,No,Difficulty,7
L178,4,Civil,6.53,<3L,After Understanding,11,0,19,No,Yes,Trust,2
L179,1,Mechanical,7.04,<3L,After Counselling,39,3,7,No,No,Fee,4
L180,2,ECE,6.51,<3L,After Application,20,1,13,Yes,No,Time,8
L181,1,CSE,5.4,6-10L,After Understanding,25,1,4,No,No,Time,3
L182,4,CSE,9.7,<3L,Before Counselling,12,0,4,No,No,Fee,1
L183,4,CSE,7.74,6-10L,After Counselling,22,0,17,Yes,No,Fee,5
L184,2,ECE,8.94,<3L,Before Counselling,12,3,18,Yes,No,Time,7
L185,3,Mechanical,8.29,3-6L,Before Counselling,14,4,17,No,No,Fee,5
L186,4,Civil,7.57,<3L,After Application,42,1,14,Yes,Yes,Job,6
L187,3,IT,5.45,3-6L,Before Counselling,36,1,14,Yes,No,Trust,1
L188,3,Mechanical,8.21,6-10L,Before Counselling,14,4,13,Yes,Yes,Job,2
L189,2,ECE,5.78,<3L,After Understanding,2,3,3,No,Yes,Time,1
L190,1,ECE,7.07,<3L,After Application,2,2,15,No,No,Trust,3
L191,4,CSE,8.15,3-6L,After Understanding,43,2,11,No,Yes,Trust,3
L192,4,Mechanical,8.91,<3L,After Understanding,43,1,20,No,No,Trust,4
L193,3,CSE,8.43,3-6L,After Understanding,6,2,24,No,No,Difficulty,6
L194,2,IT,8.36,<3L,After Application,25,3,23,No,No,Difficulty,2
L195,2,CSE,5.75,3-6L,After Counselling,3,2,6,Yes,Yes,Trust,1
L196,3,IT,6.73,3-6L,After Application,23,0,17,No,Yes,Difficulty,1
L197,4,ECE,5.21,<3L,After Understanding,9,3,6,Yes,Yes,Job,3
L198,4,CSE,8.6,3-6L,After Counselling,31,4,3,No,No,Time,4
L199,3,CSE,9.76,3-6L,Before Counselling,28,1,7,No,No,Time,2
L200,3,Civil,6.32,<3L,After Counselling,25,3,13,Yes,No,Time,5
L201,1,ECE,5.44,<3L,After Application,35,2,14,No,No,Fee,5
L202,1,Civil,7.38,3-6L,After Understanding,1,3,14,Yes,No,Job,9
L203,4,IT,9.28,<3L,Before Counselling,2,4,22,No,No,Time,7
L204,3,IT,7.76,10L+,Before Counselling,15,3,15,No,No,Time,1
L205,1,ECE,5.23,3-6L,After Understanding,43,4,20,No,No,Time,7
L206,1,IT,9.87,<3L,Before Counselling,40,4,16,No,No,Time,3
L207,3,ECE,9.14,6-10L,Before Counselling,16,3,22,Yes,No,Difficulty,3
L208,1,IT,5.66,<3L,Before Counselling,23,1,4,No,No,Difficulty,4
L209,1,Mechanical,9.61,3-6L,After Application,35,1,10,No,No,Job,2
L210,3,CSE,7.25,<3L,After Counselling,8,2,11,No,No,Job,9
L211,3,Mechanical,6.86,6-10L,After Application,7,3,8,No,No,Time,6
L212,3,ECE,7.31,6-10L,Before Counselling,21,3,15,Yes,Yes,Time,6
L213,2,ECE,9.17,3-6L,After Application,35,0,18,No,No,Time,9
L214,3,Mechanical,8.3,<3L,Before Counselling,39,1,15,No,No,Fee,2
L215,2,CSE,5.3,<3L,After Application,37,4,11,No,No,Trust,6
L216,2,CSE,9.79,<3L,After Counselling,33,0,6,Yes,Yes,Difficulty,9
L217,3,Civil,5.74,<3L,After Understanding,37,3,19,No,No,Time,7
L218,3,IT,8.73,<3L,After Counselling,35,0,18,No,Yes,Fee,9
L219,4,Civil,8.18,3-6L,After Application,18,1,19,Yes,Yes,Fee,1
L220,3,CSE,5.94,6-10L,After Application,19,3,5,Yes,No,Fee,9
L221,3,Mechanical,5.85,<3L,After Counselling,10,1,21,Yes,No,Difficulty,6
L222,1,IT,9.35,<3L,After Application,4,0,2,No,Yes,Trust,6
L223,2,Mechanical,7.1,6-10L,After Understanding,30,2,14,No,Yes,Time,5
L224,2,Civil,8.27,6-10L,After Understanding,45,4,11,No,No,Time,2
L225,2,ECE,7.52,3-6L,After Counselling,33,4,16,No,No,Trust,6
L226,4,Mechanical,8.64,<3L,Before Counselling,4,2,6,No,Yes,Difficulty,1
L227,2,Civil,7.4,3-6L,After Understanding,9,2,19,No,Yes,Fee,1
L228,4,Civil,6.44,6-10L,After Application,17,2,5,Yes,Yes,Time,7
L229,3,Civil,6.82,<3L,Before Counselling,43,1,2,No,No,Fee,1
L230,3,ECE,9.3,3-6L,After Understanding,39,3,11,No,No,Trust,5
L231,3,ECE,7.34,3-6L,Before Counselling,24,2,18,Yes,No,Time,6
L232,3,ECE,6.07,<3L,After Application,39,1,4,No,No,Time,4
L233,2,IT,9.67,6-10L,After Counselling,13,0,5,No,No,Time,5
L234,1,ECE,8.98,3-6L,After Counselling,26,0,13,No,No,Job,2
L235,3,ECE,5.28,3-6L,After Application,19,2,12,No,No,Trust,7
L236,2,ECE,9.99,3-6L,After Counselling,17,0,4,No,No,Trust,1
L237,1,Mechanical,8.47,<3L,After Application,30,2,12,No,Yes,Fee,2
L238,3,ECE,5.8,3-6L,After Counselling,26,0,4,No,Yes,Difficulty,8
L239,1,IT,6.19,6-10L,After Understanding,13,0,5,No,Yes,Time,2
L240,4,Civil,8.46,10L+,After Counselling,18,3,4,Yes,No,Time,1
L241,4,Mechanical,8.9,<3L,Before Counselling,21,3,13,Yes,No,Time,5
L242,4,CSE,6.2,<3L,After Counselling,34,0,13,Yes,No,Trust,2
L243,2,ECE,6.28,10L+,After Counselling,47,3,18,Yes,No,Time,3
L244,1,Civil,6.54,3-6L,After Counselling,9,2,22,No,No,Trust,6
L245,4,Civil,7.99,10L+,After Counselling,30,4,9,Yes,No,Difficulty,6
L246,2,Mechanical,5.86,<3L,After Understanding,29,2,11,Yes,No,Difficulty,3
L247,4,CSE,5.52,<3L,After Application,29,3,17,Yes,Yes,Trust,3
L248,4,IT,8.39,<3L,After Understanding,46,1,20,No,Yes,Time,7
L249,4,Civil,8.9,6-10L,After Understanding,19,0,16,Yes,Yes,Trust,6
L250,2,Civil,7.5,6-10L,Before Counselling,8,3,23,No,Yes,Time,1
L251,2,Civil,6.82,3-6L,After Application,44,3,12,Yes,No,Time,5
L252,4,Civil,7.16,<3L,After Application,17,3,8,No,Yes,Job,7
L253,2,Mechanical,6.94,<3L,Before Counselling,12,2,8,Yes,No,Trust,6
L254,1,CSE,9.8,3-6L,After Application,15,0,24,Yes,No,Fee,4
L255,3,Civil,8.84,3-6L,After Counselling,5,4,19,No,No,Fee,1
L256,4,IT,6.04,3-6L,After Application,34,3,20,No,Yes,Difficulty,7
L257,3,IT,6.92,<3L,Before Counselling,3,1,17,No,Yes,Time,4
L258,3,ECE,7.72,3-6L,Before Counselling,5,0,23,No,No,Time,4
L259,1,Civil,8.06,<3L,Before Counselling,34,4,4,No,Yes,Job,5
L260,3,Civil,7.34,3-6L,Before Counselling,9,1,7,No,No,Time,7
L261,4,Civil,9.05,3-6L,After Understanding,24,4,2,No,No,Difficulty,9
L262,1,Civil,8.84,10L+,After Application,5,4,2,No,No,Trust,4
L263,3,Civil,7.53,3-6L,After Understanding,27,0,16,Yes,No,Trust,1
L264,4,IT,9.27,<3L,Before Counselling,20,2,21,No,No,Difficulty,3
L265,3,CSE,8.76,<3L,Before Counselling,47,1,12,Yes,No,Job,7
L266,3,CSE,8.89,10L+,After Understanding,45,3,11,No,No,Trust,7
L267,3,ECE,9.78,<3L,After Counselling,41,4,4,Yes,No,Difficulty,2
L268,2,IT,6.33,<3L,After Application,2,1,5,Yes,No,Time,6
L269,2,Civil,6.34,10L+,After Understanding,23,0,13,No,No,Trust,3
L270,4,CSE,9.44,3-6L,After Application,34,1,7,Yes,No,Difficulty,7
L271,4,Mechanical,8.86,3-6L,Before Counselling,29,3,21,No,No,Job,1
L272,4,Mechanical,9.63,<3L,Before Counselling,43,3,20,No,No,Trust,2
L273,4,Mechanical,5.32,6-10L,Before Counselling,35,0,17,No,No,Job,6
L274,3,Civil,8.14,<3L,After Application,30,1,24,No,Yes,Fee,9
L275,3,Civil,5.72,<3L,After Application,3,2,11,No,Yes,Job,2
L276,3,ECE,7.52,<3L,After Understanding,10,2,7,No,No,Difficulty,4
L277,3,ECE,5.78,<3L,Before Counselling,34,4,21,No,No,Time,5
L278,3,ECE,5.64,10L+,After Understanding,1,4,6,No,No,Trust,2
L279,3,Mechanical,5.06,3-6L,After Counselling,6,1,11,No,No,Job,8
L280,4,Civil,8.15,3-6L,Before Counselling,6,4,13,Yes,Yes,Trust,3
L281,2,Mechanical,6.8,10L+,Before Counselling,43,3,19,No,No,Trust,4
L282,2,ECE,5.53,<3L,After Counselling,16,0,4,No,No,Difficulty,9
L283,1,Civil,6.61,<3L,After Understanding,1,4,6,No,Yes,Difficulty,5
L284,3,IT,5.84,3-6L,After Application,5,2,4,No,No,Fee,3
L285,1,CSE,9.71,3-6L,Before Counselling,25,3,4,No,No,Time,7
L286,2,CSE,6.6,3-6L,After Application,27,2,10,Yes,No,Fee,1
L287,3,ECE,6.67,<3L,Before Counselling,42,4,5,No,Yes,Difficulty,3
L288,2,Mechanical,9.2,3-6L,Before Counselling,38,4,21,No,No,Fee,4
L289,3,IT,8.24,<3L,After Application,43,3,18,No,No,Job,8
L290,1,Civil,8.55,<3L,Before Counselling,26,2,8,No,Yes,Job,6
L291,1,Mechanical,8.18,<3L,After Counselling,16,0,14,No,No,Trust,3
L292,4,ECE,9.73,<3L,After Understanding,45,0,13,No,No,Fee,9
L293,2,Mechanical,6.04,<3L,After Counselling,44,3,19,No,Yes,Fee,8
L294,1,ECE,9.95,<3L,After Understanding,26,4,23,No,No,Difficulty,1
L295,3,CSE,9.15,10L+,After Counselling,45,3,16,No,Yes,Fee,5
L296,3,CSE,7.94,10L+,After Counselling,37,2,6,No,No,Trust,1
L297,2,Mechanical,8.31,3-6L,After Understanding,28,0,2,No,No,Difficulty,9
L298,3,IT,8.24,10L+,Before Counselling,28,4,10,No,No,Trust,2
L299,1,Civil,5.29,10L+,After Application,30,2,10,Yes,Yes,Job,4
L300,1,ECE,6.09,<3L,After Application,13,0,14,No,Yes,Difficulty,1
L301,3,Civil,9.81,3-6L,After Application,25,0,12,No,No,Time,4
L302,3,CSE,7.67,10L+,Before Counselling,45,1,24,Yes,Yes,Trust,9
L303,3,IT,6.89,3-6L,After Counselling,19,4,10,No,No,Time,5
L304,3,IT,8.81,<3L,After Counselling,13,3,6,No,No,Time,5
L305,4,Civil,7.62,3-6L,After Counselling,11,1,15,No,No,Trust,2
L306,3,CSE,5.07,<3L,Before Counselling,23,0,17,No,Yes,Difficulty,6
L307,2,Civil,8.68,<3L,After Understanding,14,4,3,No,No,Time,1
L308,3,Mechanical,8.66,<3L,Before Counselling,10,4,16,No,No,Difficulty,1
L309,2,IT,5.83,<3L,After Application,34,1,18,No,No,Time,4
L310,2,IT,9.78,<3L,After Counselling,40,2,6,Yes,Yes,Trust,7
L311,1,Mechanical,6.12,6-10L,Before Counselling,23,2,11,No,No,Fee,5
L312,1,CSE,7.29,<3L,Before Counselling,40,3,16,No,No,Difficulty,3
L313,4,IT,5.57,<3L,Before Counselling,21,4,21,Yes,Yes,Time,9
L314,4,ECE,8.02,<3L,After Understanding,20,1,5,No,No,Fee,9
L315,3,ECE,6.88,3-6L,After Counselling,32,0,5,No,No,Fee,3
L316,2,CSE,6.77,10L+,Before Counselling,14,2,8,Yes,No,Fee,9
L317,1,Mechanical,9.13,<3L,Before Counselling,24,1,2,Yes,No,Trust,3
L318,1,Civil,5.05,<3L,After Application,46,3,23,Yes,Yes,Trust,6
L319,2,CSE,8.99,3-6L,After Counselling,18,3,21,No,No,Trust,2
L320,3,Civil,7.86,3-6L,Before Counselling,47,4,3,Yes,Yes,Trust,2
L321,3,CSE,9.93,<3L,Before Counselling,30,3,20,Yes,Yes,Difficulty,6
L322,3,ECE,7.95,<3L,Before Counselling,28,3,5,No,No,Time,5
L323,2,Mechanical,5.28,3-6L,Before Counselling,14,2,24,No,Yes,Difficulty,5
L324,4,ECE,5.25,<3L,After Counselling,42,2,2,No,No,Fee,7
L325,3,Mechanical,9.42,10L+,Before Counselling,21,3,2,Yes,No,Time,1
L326,3,Civil,9.21,<3L,After Understanding,34,4,4,Yes,No,Time,6
L327,3,CSE,6.73,<3L,Before Counselling,5,2,19,No,No,Fee,9
L328,2,IT,8.09,6-10L,After Understanding,31,2,4,No,No,Job,5
L329,2,IT,7.45,6-10L,After Counselling,3,3,4,No,No,Time,7
L330,2,Mechanical,9.84,<3L,Before Counselling,23,4,14,No,No,Difficulty,3
L331,3,Mechanical,9.75,10L+,After Application,39,3,2,No,Yes,Time,8
L332,1,ECE,9.92,3-6L,After Understanding,44,0,14,Yes,No,Fee,1
L333,1,IT,9.33,<3L,After Understanding,30,0,23,No,No,Fee,7
L334,1,ECE,9.55,3-6L,Before Counselling,42,4,6,No,Yes,Difficulty,6
L335,1,Civil,6.09,<3L,After Application,43,0,18,Yes,No,Fee,6
L336,4,IT,9.16,<3L,After Application,30,4,12,No,Yes,Time,1
L337,3,Civil,8.54,<3L,Before Counselling,36,0,11,Yes,No,Trust,2
L338,2,CSE,9.81,3-6L,After Counselling,38,1,24,No,No,Difficulty,6
