Student_ID,College_ID,Department,CGPA,Admission_Type,Skill_Program,Program_Duration,Bootcamps,Workshops,Hackathons,Internships,Projects,GenAI,ML,College_Tier,NAAC_Grade,NBA_Accredited,Placement_Probability,Placement_Status,Salary_LPA
23,31,ECE,5.13,Govt,0,30,1,8,1,0,1,0,1,1,B++,0,1.326,Not Placed,0
24,3,Civil,9.82,Govt,1,15,2,8,6,2,6,0,3,3,A++,0,4.564,Not Placed,0
25,29,IT,7.49,Management,0,20,0,2,2,2,8,2,2,4,A+,1,4.498,Not Placed,0
26,36,Civil,5.31,Management,1,11,3,9,7,0,4,0,2,4,A+,0,2.462,Not Placed,0
27,22,ECE,7.8,Govt,1,33,3,2,5,0,11,1,3,2,A++,1,5.06,Placed,6
28,38,IT,7.57,Govt,0,15,1,2,2,0,6,0,3,1,A+,0,3.314,Not Placed,0
29,44,ECE,6.2,Management,1,17,0,3,6,1,6,1,2,4,A+,1,3.54,Not Placed,0
30,14,CSE,6.04,Management,1,9,2,3,4,1,9,2,2,4,A++,0,4.408,Not Placed,0
31,42,ECE,6.35,Govt,1,10,3,2,4,0,4,1,2,2,A+,1,2.67,Not Placed,0
32,28,Civil,5.65,Management,0,9,3,4,3,1,4,0,3,4,B++,0,2.63,Not Placed,0
33,35,CSE,7.66,Govt,1,12,1,4,6,1,11,2,3,1,A+,1,5.332,Placed,19
34,12,CSE,9.39,Management,1,30,0,9,0,1,5,2,2,3,A++,0,3.878,Not Placed,0
35,31,Mechanical,9.62,Govt,0,11,2,1,2,2,10,2,2,1,B++,0,5.523999999999999,Placed,19
36,6,Civil,9.76,Management,0,28,4,2,7,2,2,2,0,1,B++,1,3.152,Not Placed,0
37,58,Civil,8.0,Govt,1,28,2,4,1,0,11,1,0,3,B++,0,5.1000000000000005,Placed,17
38,50,IT,8.11,Management,1,14,1,8,6,2,9,2,1,3,B++,1,5.121999999999999,Placed,13
39,21,ECE,6.55,Govt,0,22,0,3,1,0,8,2,1,1,B++,0,3.71,Not Placed,0
40,27,Other,9.43,Govt,0,25,1,7,7,2,1,2,3,2,A++,0,2.786,Not Placed,0
41,1,ECE,7.44,Govt,1,9,1,2,5,2,8,1,3,4,A,0,4.688,Not Placed,0
42,41,Civil,6.4,Management,1,31,3,4,5,1,3,1,0,3,A+,0,2.68,Not Placed,0
43,44,ECE,9.83,Management,0,10,2,5,3,2,1,2,2,4,A+,1,2.866,Not Placed,0
44,56,Civil,8.53,Govt,1,10,1,8,7,1,2,0,2,4,A++,0,2.806,Not Placed,0
45,52,CSE,7.32,Govt,1,18,3,6,0,0,4,0,2,3,B++,0,2.8640000000000003,Not Placed,0
46,5,ECE,5.34,Management,0,14,3,7,3,1,3,2,2,4,A+,1,2.268,Not Placed,0
47,27,ECE,5.7,Management,0,22,3,7,0,2,9,2,2,2,A++,0,4.4399999999999995,Not Placed,0
48,27,Civil,5.98,Govt,0,17,3,4,6,0,8,0,0,2,A++,0,3.596,Not Placed,0
49,43,Civil,9.51,Govt,0,8,3,8,4,1,4,2,1,4,B++,1,3.402,Not Placed,0
50,43,IT,9.86,Govt,1,28,0,2,6,0,9,1,2,4,B++,1,4.872,Not Placed,0
51,19,ECE,6.33,Govt,1,31,1,5,7,0,11,1,0,3,B++,0,4.766,Not Placed,0
52,29,Mechanical,7.49,Govt,1,16,0,4,4,2,10,2,2,4,A+,1,5.298,Placed,8
53,10,Civil,8.96,Govt,0,15,2,5,7,0,4,2,2,3,A+,1,2.992,Not Placed,0
54,57,Mechanical,6.92,Management,0,12,3,3,3,1,11,0,1,1,A+,0,4.984,Not Placed,0
55,54,CSE,7.46,Management,0,7,2,5,0,2,1,1,3,3,A,1,2.392,Not Placed,0
56,27,CSE,9.44,Govt,0,8,0,3,7,2,3,1,3,2,A++,0,3.388,Not Placed,0
57,24,Mechanical,6.04,Management,0,23,2,6,6,2,11,1,3,4,A,1,5.108,Placed,14
58,38,Other,9.97,Govt,1,18,4,1,0,1,10,1,1,1,A+,0,5.494,Placed,19
59,32,CSE,7.28,Management,0,30,4,0,1,1,3,2,2,4,A+,0,2.6559999999999997,Not Placed,0
60,0,Mechanical,6.29,Govt,1,11,4,5,3,1,8,0,0,3,A,1,4.1579999999999995,Not Placed,0
61,56,IT,9.46,Management,1,34,3,9,4,0,7,1,3,4,A++,0,4.192,Not Placed,0
62,26,IT,5.38,Management,1,14,0,7,5,1,9,2,3,2,A+,0,4.276,Not Placed,0
63,56,CSE,8.21,Management,0,12,4,6,5,1,6,2,1,4,A++,0,3.742,Not Placed,0
64,51,Mechanical,5.31,Govt,0,35,0,9,6,1,11,1,2,2,A,0,4.662,Not Placed,0
65,12,Mechanical,9.73,Govt,1,8,1,7,0,0,5,1,0,3,A++,0,3.6460000000000004,Not Placed,0
66,40,Mechanical,8.2,Management,1,24,4,6,7,0,5,1,0,3,A,0,3.34,Not Placed,0
67,2,Other,6.99,Management,1,33,0,8,5,2,8,1,3,1,A++,1,4.598,Not Placed,0
68,38,CSE,7.12,Management,0,31,0,3,4,2,9,2,2,1,A+,0,4.723999999999999,Not Placed,0
69,5,Other,5.83,Govt,1,26,3,5,7,2,5,2,1,4,A+,1,3.4660000000000006,Not Placed,0
70,7,Mechanical,6.8,Govt,1,8,1,9,3,2,8,2,0,1,A++,0,4.56,Not Placed,0
71,26,Civil,9.52,Govt,0,13,4,2,1,1,10,2,0,2,A+,0,5.204,Placed,16
72,8,Mechanical,9.03,Govt,0,30,0,3,3,2,9,0,1,3,B++,1,5.106,Placed,16
73,36,Civil,8.31,Management,1,28,0,2,0,1,9,0,2,4,A+,0,4.862,Not Placed,0
74,32,IT,9.84,Management,0,18,1,6,1,2,7,1,0,4,A+,0,4.667999999999999,Not Placed,0
75,50,Civil,7.87,Govt,1,30,4,0,1,0,1,1,1,3,B++,1,2.0740000000000003,Not Placed,0
76,41,IT,5.88,Management,1,16,1,3,5,1,3,2,1,3,A+,0,2.5759999999999996,Not Placed,0
77,43,CSE,8.57,Management,0,26,4,7,4,2,5,1,2,4,B++,1,3.8140000000000005,Not Placed,0
78,23,Other,7.96,Govt,1,33,0,7,7,2,3,0,0,4,B++,1,3.2920000000000003,Not Placed,0
79,14,Other,7.18,Govt,0,34,3,5,4,0,2,0,3,4,A++,0,2.036,Not Placed,0
80,58,IT,5.73,Govt,1,29,3,7,3,0,6,0,2,3,B++,0,3.146,Not Placed,0
81,53,IT,8.39,Management,1,10,2,7,6,2,5,1,3,4,A+,1,3.978,Not Placed,0
82,31,Mechanical,7.22,Govt,1,33,2,8,2,0,8,1,0,1,B++,0,4.044,Not Placed,0
83,31,ECE,7.89,Govt,0,12,2,0,3,1,7,1,2,1,B++,0,3.9779999999999998,Not Placed,0
84,23,IT,6.58,Govt,1,29,1,2,0,0,9,0,0,4,B++,1,4.216,Not Placed,0
85,40,Civil,5.78,Management,0,33,3,1,3,2,4,1,2,3,A,0,2.956,Not Placed,0
86,51,CSE,6.8,Govt,1,13,2,0,4,2,4,1,3,2,A,0,3.3600000000000003,Not Placed,0
87,48,Other,9.26,Govt,1,9,2,9,6,2,4,1,3,2,A+,0,3.8520000000000003,Not Placed,0
88,48,Civil,5.8,Govt,1,14,4,6,2,0,9,0,2,2,A+,0,4.06,Not Placed,0
89,57,Other,7.36,Govt,0,20,2,1,5,1,10,0,2,1,A+,0,4.772,Not Placed,0
90,51,CSE,6.49,Govt,1,31,1,8,4,2,1,1,2,2,A,0,2.398,Not Placed,0
91,11,Civil,9.81,Management,1,14,3,7,3,0,11,0,3,3,A+,0,5.462000000000001,Placed,14
92,38,Other,5.42,Govt,1,24,1,2,6,0,2,2,1,1,A+,0,1.8840000000000001,Not Placed,0
93,1,IT,6.23,Govt,1,29,1,6,0,2,10,1,0,4,A,0,5.046,Placed,14
94,2,ECE,7.25,Govt,0,34,3,4,6,1,4,1,3,1,A++,1,2.95,Not Placed,0
95,48,IT,6.24,Govt,0,24,2,7,4,1,2,1,0,2,A+,0,2.148,Not Placed,0
96,36,Other,8.53,Management,1,18,3,3,6,1,3,0,2,4,A+,0,3.106,Not Placed,0
97,48,Mechanical,6.85,Govt,1,29,2,1,6,2,1,2,1,2,A+,0,2.47,Not Placed,0
98,55,Civil,8.9,Management,1,34,3,8,5,2,6,1,0,4,B++,1,4.38,Not Placed,0
99,16,ECE,7.76,Govt,1,24,1,6,7,0,5,0,0,4,B++,0,3.2520000000000002,Not Placed,0
100,58,Civil,7.13,Govt,0,20,0,5,6,0,7,0,3,3,B++,0,3.5260000000000002,Not Placed,0
101,48,Mechanical,6.82,Management,1,10,2,5,1,2,3,2,2,2,A+,0,3.0640000000000005,Not Placed,0
102,1,Mechanical,6.11,Management,0,20,3,5,0,2,8,2,3,4,A,0,4.2219999999999995,Not Placed,0
103,1,Mechanical,6.26,Govt,1,10,1,9,4,0,9,2,1,4,A,0,4.152,Not Placed,0
104,27,Other,5.88,Govt,1,13,2,1,2,1,4,0,0,2,A++,0,2.876,Not Placed,0
105,53,IT,9.26,Govt,0,10,2,8,6,2,9,0,3,4,A+,1,5.151999999999999,Placed,14
106,22,Other,7.74,Management,1,15,4,0,7,0,11,2,2,2,A++,1,5.048,Placed,13
107,36,IT,7.41,Govt,0,10,0,2,1,0,1,1,1,4,A+,0,1.7820000000000003,Not Placed,0
108,31,ECE,6.61,Govt,1,20,2,2,0,2,2,1,0,1,B++,0,2.7220000000000004,Not Placed,0
109,32,Mechanical,7.58,Govt,0,19,3,4,6,0,3,2,0,4,A+,0,2.416,Not Placed,0
110,0,IT,9.41,Govt,1,28,0,3,2,0,3,2,0,3,A,1,2.982,Not Placed,0
111,18,CSE,9.28,Management,1,25,1,0,6,0,5,1,0,4,A,0,3.556,Not Placed,0
112,1,CSE,8.0,Govt,1,32,4,3,5,2,10,2,2,4,A,0,5.3999999999999995,Placed,12
113,52,IT,7.65,Management,1,34,0,7,1,0,5,1,3,3,B++,0,3.2300000000000004,Not Placed,0
114,43,ECE,6.13,Management,0,34,3,4,6,2,3,0,3,4,B++,1,2.726,Not Placed,0
115,25,Civil,8.46,Govt,1,24,1,6,0,2,2,1,2,2,A,0,3.0920000000000005,Not Placed,0
116,31,Other,9.27,Management,1,27,4,6,1,1,1,0,2,1,B++,0,2.654,Not Placed,0
117,5,Mechanical,6.53,Management,1,34,1,0,6,1,7,1,2,4,A+,1,3.906,Not Placed,0
118,31,IT,7.18,Govt,1,12,2,1,0,0,7,0,1,1,B++,0,3.736,Not Placed,0
119,54,ECE,5.53,Govt,1,31,3,3,6,0,7,1,0,3,A,1,3.4060000000000006,Not Placed,0
120,3,Other,9.29,Management,1,9,0,4,0,2,5,1,0,3,A++,0,4.1579999999999995,Not Placed,0
121,54,Civil,5.49,Govt,1,27,2,7,6,2,2,2,2,3,A,1,2.498,Not Placed,0
122,10,ECE,8.52,Govt,1,15,0,0,2,2,7,0,3,3,A+,1,4.604,Not Placed,0
123,55,Civil,5.93,Management,1,21,3,5,5,1,2,0,0,4,B++,1,2.286,Not Placed,0
124,58,CSE,8.67,Govt,1,7,2,7,5,1,9,2,2,3,B++,0,4.933999999999999,Not Placed,0
125,16,Other,8.21,Management,0,31,0,5,3,0,5,0,3,4,B++,0,3.1420000000000003,Not Placed,0
126,37,Other,8.45,Govt,0,7,3,9,1,2,7,0,2,1,B++,1,4.39,Not Placed,0
127,23,Civil,8.18,Management,1,27,2,0,4,2,11,2,0,4,B++,1,5.736,Placed,7
128,4,CSE,6.98,Govt,0,29,2,9,5,0,5,1,2,3,A,0,2.896,Not Placed,0
129,51,Mechanical,8.1,Govt,0,14,1,0,0,0,6,2,3,2,A,0,3.42,Not Placed,0
130,33,IT,6.17,Management,0,26,2,7,5,0,1,2,3,2,A+,0,1.534,Not Placed,0
131,5,CSE,6.37,Govt,0,18,2,4,7,0,1,1,2,4,A+,1,1.574,Not Placed,0
132,21,ECE,5.33,Management,0,34,1,7,0,1,9,0,1,1,B++,0,4.066,Not Placed,0
133,10,Civil,8.06,Management,1,11,2,9,4,1,2,2,1,3,A+,1,2.712,Not Placed,0
134,47,Other,9.2,Govt,1,6,3,8,3,0,2,2,2,3,B++,0,2.64,Not Placed,0
135,15,ECE,6.89,Govt,1,9,1,6,1,2,7,0,1,1,A+,0,4.2780000000000005,Not Placed,0
136,32,Other,6.04,Govt,1,20,1,1,0,1,10,1,3,4,A+,0,4.708,Not Placed,0
137,8,CSE,9.12,Management,1,24,2,9,1,2,6,2,0,3,B++,1,4.4239999999999995,Not Placed,0
138,59,Other,8.22,Govt,0,13,3,5,5,2,2,2,2,1,A++,0,2.8440000000000003,Not Placed,0
139,58,Other,9.47,Govt,1,23,0,6,7,1,7,2,1,3,B++,0,4.494000000000001,Not Placed,0
140,5,Other,5.03,Govt,0,20,2,2,6,1,9,2,0,4,A+,1,4.005999999999999,Not Placed,0
141,15,Other,7.01,Govt,1,13,1,8,3,1,2,2,0,1,A+,0,2.5020000000000002,Not Placed,0
142,28,ECE,9.5,Govt,0,11,3,7,5,0,10,2,0,4,B++,0,4.9,Not Placed,0
143,2,Civil,8.38,Management,1,12,4,3,2,1,5,2,2,1,A++,1,3.676,Not Placed,0
144,19,IT,7.34,Govt,1,21,2,6,1,2,11,0,0,3,B++,0,5.568,Placed,13
145,59,ECE,7.07,Management,1,20,4,7,1,2,6,2,1,1,A++,0,4.014,Not Placed,0
146,58,Mechanical,9.48,Management,1,20,1,7,4,0,4,0,3,3,B++,0,3.2960000000000003,Not Placed,0
147,35,Civil,9.16,Management,1,6,2,7,5,2,5,0,1,1,A+,1,4.132,Not Placed,0
148,18,Civil,5.06,Govt,0,17,2,4,4,0,8,0,3,4,A,0,3.412,Not Placed,0
149,25,Mechanical,5.61,Management,1,35,1,9,4,2,5,1,0,2,A,0,3.422,Not Placed,0
150,2,CSE,7.56,Govt,1,11,1,1,7,2,1,2,2,1,A++,1,2.612,Not Placed,0
151,18,Mechanical,5.57,Govt,1,22,3,1,0,1,1,0,3,4,A,0,1.9140000000000001,Not Placed,0
152,19,CSE,6.37,Management,0,32,3,5,6,2,2,2,0,3,B++,0,2.474,Not Placed,0
153,31,IT,9.17,Govt,1,12,0,0,7,0,10,0,0,1,B++,0,5.034,Placed,15
154,6,CSE,6.93,Govt,0,15,4,0,2,2,2,0,2,1,B++,1,2.5860000000000003,Not Placed,0
155,51,IT,7.25,Govt,0,14,0,5,7,1,7,0,3,2,A,0,3.85,Not Placed,0
156,40,IT,5.87,Govt,1,7,2,9,1,0,5,0,0,3,A,0,2.8740000000000006,Not Placed,0
157,32,Other,8.01,Govt,0,8,2,4,4,2,2,1,1,4,A+,0,2.802,Not Placed,0
158,39,Other,5.6,Govt,1,28,4,0,3,2,4,0,2,3,A++,1,3.12,Not Placed,0
159,38,Mechanical,8.15,Govt,0,33,1,4,3,0,8,2,1,1,A+,0,4.03,Not Placed,0
160,17,IT,8.73,Management,1,26,2,6,6,0,6,2,3,4,B++,0,3.7460000000000004,Not Placed,0
161,39,CSE,9.37,Management,0,6,4,2,5,2,5,1,0,3,A++,1,3.9739999999999998,Not Placed,0
162,0,ECE,7.91,Govt,0,10,2,2,7,2,11,2,0,3,A,1,5.481999999999999,Placed,12
163,10,Other,6.66,Management,1,24,0,6,7,0,11,0,3,3,A+,1,4.832,Not Placed,0
164,27,Civil,9.26,Govt,1,29,2,5,7,2,10,2,2,2,A++,0,5.652,Placed,8
165,56,Civil,7.98,Govt,1,11,4,6,5,2,5,2,1,4,A++,0,3.8960000000000004,Not Placed,0
166,24,CSE,6.79,Govt,1,21,3,4,3,2,5,2,3,4,A,1,3.6580000000000004,Not Placed,0
167,49,Other,6.61,Govt,1,30,0,6,2,2,8,0,2,2,A,1,4.522,Not Placed,0
168,22,ECE,6.6,Management,1,7,4,4,3,0,4,0,2,2,A++,1,2.72,Not Placed,0
169,30,IT,5.28,Management,1,15,2,8,2,0,10,0,1,1,B++,0,4.256,Not Placed,0
170,29,Other,5.51,Govt,0,19,1,5,6,0,4,2,1,4,A+,1,2.302,Not Placed,0
171,41,CSE,5.45,Govt,1,14,1,4,2,1,11,0,0,3,A+,0,4.89,Not Placed,0
172,34,IT,6.56,Govt,0,23,0,5,0,1,1,2,0,2,A+,0,1.9120000000000001,Not Placed,0
173,6,Other,7.37,Management,0,9,2,8,0,1,3,0,3,1,B++,1,2.674,Not Placed,0
174,59,Mechanical,5.74,Management,1,8,1,8,6,1,1,1,1,1,A++,0,1.9480000000000002,Not Placed,0
175,15,ECE,9.14,Govt,0,12,1,2,0,2,3,2,0,1,A+,0,3.3280000000000003,Not Placed,0
176,25,Civil,5.33,Govt,1,31,0,9,6,0,6,2,2,2,A,0,3.066,Not Placed,0
177,47,CSE,9.73,Management,1,14,1,8,3,2,11,2,3,3,B++,0,6.046,Placed,5
178,56,Civil,5.37,Govt,0,30,1,3,5,2,7,1,1,4,A++,0,3.7740000000000005,Not Placed,0
179,51,IT,9.47,Management,0,33,4,3,7,0,5,0,0,2,A,0,3.394,Not Placed,0
180,59,IT,6.3,Govt,1,25,1,8,7,0,3,1,3,1,A++,0,2.3600000000000003,Not Placed,0
181,48,Mechanical,9.93,Management,1,11,4,5,3,0,3,1,3,2,A+,0,3.0860000000000003,Not Placed,0
182,1,IT,7.61,Govt,1,14,1,2,2,0,10,0,0,4,A,0,4.722,Not Placed,0
183,0,IT,5.09,Govt,0,30,0,5,5,0,7,0,1,3,A,1,3.1180000000000003,Not Placed,0
184,47,Civil,6.41,Management,0,29,1,6,6,1,3,2,1,3,B++,0,2.4819999999999998,Not Placed,0
185,11,Civil,9.7,Govt,1,21,3,4,6,1,1,1,3,3,A+,0,2.7399999999999998,Not Placed,0
186,4,CSE,6.5,Govt,1,20,0,7,1,1,3,1,3,3,A,0,2.7,Not Placed,0
187,36,CSE,6.8,Management,1,20,1,1,7,1,2,0,0,4,A+,0,2.46,Not Placed,0
188,31,IT,5.22,Management,1,31,0,6,5,0,10,1,3,1,B++,0,4.244000000000001,Not Placed,0
189,58,Other,6.27,Management,1,6,2,3,3,1,9,1,2,3,B++,0,4.454,Not Placed,0
190,54,ECE,6.3,Management,1,14,2,0,7,2,8,0,3,3,A,1,4.46,Not Placed,0
191,8,CSE,8.58,Management,1,17,3,6,6,0,2,0,0,3,B++,1,2.5160000000000005,Not Placed,0
192,40,IT,7.53,Govt,0,24,2,0,1,1,1,0,3,3,A,0,2.1060000000000003,Not Placed,0
193,34,Other,5.81,Govt,1,33,0,1,4,1,10,0,1,2,A+,0,4.662,Not Placed,0
194,18,Other,8.98,Management,1,21,4,2,2,1,11,1,2,4,A,0,5.596,Placed,16
195,47,Civil,8.06,Management,0,25,2,4,4,2,2,2,1,3,B++,0,2.8120000000000003,Not Placed,0
196,15,Other,6.34,Management,0,29,0,0,2,1,3,0,1,1,A+,0,2.468,Not Placed,0
197,2,Mechanical,6.12,Management,1,33,4,0,2,1,9,1,3,1,A++,1,4.424,Not Placed,0
198,19,Civil,9.62,Management,0,18,3,8,1,0,8,0,0,3,B++,0,4.324,Not Placed,0
199,23,Civil,8.19,Govt,1,28,0,6,5,1,5,2,0,4,B++,1,3.638,Not Placed,0
200,53,Mechanical,9.04,Govt,0,20,2,8,2,2,10,1,3,4,A+,1,5.4079999999999995,Placed,8
201,55,Civil,6.13,Management,1,27,1,5,2,0,8,2,3,4,B++,1,3.826,Not Placed,0
202,32,CSE,7.94,Govt,1,23,3,8,1,1,6,0,1,4,A+,0,3.888,Not Placed,0
203,23,Civil,5.27,Management,0,21,2,1,7,1,9,1,1,4,B++,1,4.053999999999999,Not Placed,0
204,51,Mechanical,7.97,Govt,1,24,0,2,2,2,6,1,2,2,A,0,4.194,Not Placed,0
205,10,IT,6.02,Management,1,34,1,4,1,0,1,2,0,3,A+,1,1.704,Not Placed,0
206,48,IT,8.35,Govt,1,26,4,1,7,2,10,2,1,2,A+,0,5.47,Placed,16
207,7,IT,9.66,Management,0,23,1,6,1,1,7,2,2,1,A++,0,4.332,Not Placed,0
208,35,Mechanical,7.29,Management,1,35,3,9,0,0,11,2,0,1,A+,1,4.958,Not Placed,0
209,37,Mechanical,6.53,Govt,1,16,2,3,3,1,6,0,0,1,B++,1,3.606,Not Placed,0
210,39,CSE,5.62,Govt,1,6,3,1,3,2,3,2,1,3,A++,1,2.8240000000000003,Not Placed,0
211,19,Mechanical,8.35,Govt,0,14,0,2,6,2,10,2,3,3,B++,0,5.27,Placed,6
212,34,Other,7.92,Management,0,12,1,4,0,1,10,0,3,2,A+,0,4.8839999999999995,Not Placed,0
213,47,IT,7.72,Govt,1,14,3,4,1,0,7,2,1,3,B++,0,3.8440000000000003,Not Placed,0
214,24,Mechanical,9.68,Management,1,31,1,4,6,2,4,2,2,4,A,1,3.9360000000000004,Not Placed,0
215,34,ECE,9.89,Govt,1,11,4,5,1,2,9,1,3,2,A+,0,5.478,Placed,6
216,24,Civil,8.58,Management,1,26,0,0,3,2,3,0,1,4,A,1,3.4160000000000004,Not Placed,0
217,28,CSE,5.98,Management,1,19,1,1,3,2,7,0,2,4,B++,0,4.096,Not Placed,0
218,17,IT,9.73,Govt,1,27,2,4,1,0,6,1,2,4,B++,0,3.946,Not Placed,0
219,45,Other,6.72,Govt,1,32,1,0,1,2,7,1,1,4,A+,0,4.244,Not Placed,0
220,17,Other,5.4,Management,1,22,4,0,2,1,11,2,2,4,B++,0,4.88,Not Placed,0
221,1,IT,6.21,Management,0,17,1,0,7,0,2,1,2,4,A,0,1.842,Not Placed,0
222,53,Other,9.15,Management,1,15,4,0,1,0,10,0,1,4,A+,1,5.03,Placed,17
223,34,ECE,6.02,Management,0,14,2,3,7,0,6,1,2,2,A+,0,3.0039999999999996,Not Placed,0
224,15,CSE,6.98,Management,0,25,0,1,7,0,1,1,0,1,A+,0,1.6960000000000002,Not Placed,0
225,40,Civil,6.37,Govt,1,9,1,2,3,1,4,1,2,3,A,0,2.974,Not Placed,0
226,35,CSE,5.24,Govt,1,7,3,8,6,1,2,0,1,1,A+,1,2.148,Not Placed,0
227,32,CSE,7.81,Govt,1,25,3,1,3,0,4,0,1,4,A+,0,2.962,Not Placed,0
228,3,IT,8.14,Management,0,14,4,9,3,0,10,1,3,3,A++,0,4.628,Not Placed,0
229,32,Mechanical,8.96,Management,1,23,0,6,7,2,2,1,2,4,A+,0,3.1920000000000006,Not Placed,0
230,13,Civil,7.07,Management,0,33,3,3,1,0,9,1,1,3,A+,0,4.114,Not Placed,0
231,20,CSE,5.71,Govt,1,9,3,9,3,2,7,0,1,2,A,1,4.042,Not Placed,0
232,47,ECE,8.26,Govt,1,25,0,0,2,2,3,1,3,3,B++,0,3.3520000000000003,Not Placed,0
233,19,IT,9.45,Govt,1,7,3,9,5,2,6,1,1,3,B++,0,4.489999999999999,Not Placed,0
234,55,Mechanical,5.6,Govt,0,9,3,2,6,2,8,1,0,4,B++,1,4.119999999999999,Not Placed,0
235,7,Mechanical,5.91,Govt,1,14,4,3,1,1,1,0,1,1,A++,0,1.9820000000000002,Not Placed,0
236,6,IT,6.65,Govt,1,30,0,3,7,0,9,2,2,1,B++,1,4.2299999999999995,Not Placed,0
237,2,CSE,8.25,Management,1,10,0,0,2,0,11,2,1,1,A++,1,5.15,Placed,14
238,16,Other,7.62,Govt,1,8,2,3,2,1,1,1,2,4,B++,0,2.3240000000000003,Not Placed,0
239,32,IT,8.56,Govt,1,18,0,7,0,1,5,0,3,4,A+,0,3.712,Not Placed,0
240,47,Other,5.16,Management,0,27,1,4,2,2,1,1,1,3,B++,0,1.932,Not Placed,0
241,11,Mechanical,9.05,Govt,1,21,0,2,2,2,7,1,3,3,A+,0,4.71,Not Placed,0
242,58,Mechanical,9.94,Management,0,31,4,3,4,0,7,1,3,3,B++,0,4.088,Not Placed,0
243,50,ECE,5.23,Govt,1,26,0,7,7,0,5,0,2,3,B++,1,2.7460000000000004,Not Placed,0
244,21,ECE,7.48,Govt,0,20,3,6,5,2,4,2,3,1,B++,0,3.2960000000000003,Not Placed,0
245,54,Mechanical,8.7,Govt,1,15,4,9,3,0,7,0,2,3,A,1,4.04,Not Placed,0
246,21,ECE,7.38,Govt,1,10,3,8,5,2,8,0,2,1,B++,0,4.676,Not Placed,0
247,45,ECE,7.96,Management,0,24,3,2,0,0,11,2,2,4,A+,0,4.8919999999999995,Not Placed,0
248,29,ECE,9.6,Management,1,12,2,7,0,0,11,0,2,4,A+,1,5.42,Placed,7
249,37,Mechanical,7.7,Management,1,12,0,6,1,0,2,0,1,1,B++,1,2.3400000000000003,Not Placed,0
250,37,CSE,6.18,Management,0,19,0,8,7,0,2,1,3,1,B++,1,1.8359999999999999,Not Placed,0
251,44,CSE,8.69,Govt,0,7,3,0,2,1,7,1,3,4,A+,1,4.138,Not Placed,0
252,50,Civil,6.88,Govt,0,14,4,5,1,1,6,2,2,3,B++,1,3.476,Not Placed,0
253,53,ECE,6.43,Govt,0,11,2,1,0,2,1,1,2,4,A+,1,2.186,Not Placed,0
254,7,CSE,6.24,Govt,1,16,3,7,7,1,1,0,3,1,A++,0,2.0480000000000005,Not Placed,0
